Unhappy, Sameness, Tolerance
0.24, 49.67, 0.99
0.00, 49.80, 1.00
0.00, 50.05, 1.00
0.00, 50.13, 1.00
0.00, 50.58, 1.00
0.00, 50.47, 1.00
0.00, 50.40, 1.00
0.00, 50.54, 1.00
0.00, 50.57, 1.00
0.00, 50.58, 1.00
0.00, 50.20, 1.00
0.00, 50.25, 1.00
0.00, 50.57, 1.00
0.00, 49.78, 1.00
0.00, 49.89, 1.00
0.00, 50.30, 1.00
0.00, 50.35, 1.00
0.00, 50.14, 1.00
0.00, 49.78, 1.00
0.00, 49.57, 1.00
0.00, 49.52, 1.00
0.00, 49.98, 1.00
0.00, 49.57, 1.00
0.00, 49.77, 1.00
0.00, 49.48, 1.00
0.00, 49.34, 1.00
0.00, 49.56, 1.00
0.00, 49.74, 1.00
0.00, 49.51, 1.00
0.00, 49.24, 1.00
0.00, 49.22, 1.00
0.00, 49.55, 1.00
0.00, 49.43, 1.00
0.00, 49.77, 1.00
0.00, 50.08, 1.00
0.00, 50.15, 1.00
0.00, 49.68, 1.00
0.00, 49.95, 1.00
0.00, 49.93, 1.00
0.00, 49.96, 1.00
0.00, 49.61, 1.00
0.00, 48.93, 1.00
0.00, 48.42, 1.00
0.00, 48.74, 1.00
0.00, 49.03, 1.00
0.00, 49.22, 1.00
0.00, 49.44, 1.00
0.00, 49.34, 1.00
0.00, 49.60, 1.00
0.00, 49.23, 1.00
