Unhappy, Sameness, Tolerance
30.96, 60.37, 0.09
21.62, 67.39, 0.00
15.76, 69.73, 0.00
13.58, 72.37, 0.00
11.48, 72.27, 0.00
11.52, 73.87, 0.00
10.99, 74.25, 0.00
11.03, 75.19, 0.00
9.38, 75.56, 0.00
10.15, 75.81, 0.00
10.59, 75.09, 0.00
10.63, 75.32, 0.00
11.03, 75.58, 0.00
10.23, 74.97, 0.00
11.08, 74.99, 0.00
11.56, 76.20, 0.00
9.70, 75.42, 0.00
10.19, 75.51, 0.00
10.95, 74.87, 0.00
10.87, 76.34, 0.00
10.27, 77.85, 0.00
8.93, 77.82, 0.00
9.05, 77.51, 0.00
9.05, 78.51, 0.00
8.81, 77.81, 0.00
9.42, 78.16, 0.00
9.70, 77.33, 0.00
9.94, 77.78, 0.00
9.86, 77.68, 0.00
10.15, 79.18, 0.00
8.41, 78.57, 0.00
9.54, 77.07, 0.00
10.51, 77.85, 0.00
10.23, 78.90, 0.00
9.50, 79.70, 0.00
8.93, 78.64, 0.00
9.22, 77.76, 0.00
9.82, 79.22, 0.00
9.42, 77.78, 0.00
10.15, 77.47, 0.00
10.23, 78.95, 0.00
10.06, 78.67, 0.00
10.02, 79.79, 0.00
9.38, 80.78, 0.00
8.85, 80.01, 0.00
9.09, 79.82, 0.00
9.14, 77.76, 0.00
11.03, 79.73, 0.00
8.93, 78.21, 0.00
10.15, 80.23, 0.00
9.22, 80.28, 0.00
8.93, 81.72, 0.00
8.25, 80.19, 0.00
9.14, 80.34, 0.00
9.54, 80.71, 0.00
9.22, 80.96, 0.00
8.57, 81.04, 0.00
9.09, 81.84, 0.00
8.53, 81.50, 0.00
8.45, 80.94, 0.00
