Unhappy, Sameness, Tolerance
33.51, 63.38, 0.01
20.09, 68.04, 0.00
15.56, 70.49, 0.00
13.58, 72.05, 0.00
12.61, 73.89, 0.00
11.08, 74.60, 0.00
10.71, 75.49, 0.00
10.87, 74.64, 0.00
11.60, 76.06, 0.00
9.82, 76.07, 0.00
10.79, 75.72, 0.00
10.75, 76.52, 0.00
10.59, 77.03, 0.00
10.35, 77.97, 0.00
9.30, 77.29, 0.00
9.74, 77.90, 0.00
9.58, 76.93, 0.00
10.06, 77.50, 0.00
9.98, 76.74, 0.00
10.35, 77.53, 0.00
9.62, 77.67, 0.00
9.50, 79.05, 0.00
9.18, 79.55, 0.00
8.69, 78.62, 0.00
9.30, 79.01, 0.00
9.38, 77.87, 0.00
9.74, 79.61, 0.00
8.97, 78.94, 0.00
9.90, 79.31, 0.00
9.34, 79.75, 0.00
9.22, 80.78, 0.00
8.16, 78.52, 0.00
9.94, 79.30, 0.00
8.93, 80.91, 0.00
8.16, 79.51, 0.00
9.34, 79.76, 0.00
9.30, 79.69, 0.00
9.78, 80.49, 0.00
8.61, 80.26, 0.00
9.90, 79.39, 0.00
10.11, 80.36, 0.00
8.61, 80.58, 0.00
9.01, 79.51, 0.00
9.78, 81.34, 0.00
8.33, 80.59, 0.00
8.49, 80.18, 0.00
9.05, 80.19, 0.00
9.14, 78.53, 0.00
10.15, 78.38, 0.00
10.02, 79.93, 0.00
9.30, 80.10, 0.00
9.09, 82.02, 0.00
8.16, 80.24, 0.00
8.89, 80.57, 0.00
8.69, 79.44, 0.00
9.74, 79.60, 0.00
9.22, 79.35, 0.00
9.50, 80.36, 0.00
9.42, 77.91, 0.00
