Unhappy, Sameness, Tolerance
11.40, 54.10, 0.65
14.67, 58.78, 0.48
14.63, 62.39, 0.34
14.96, 65.54, 0.21
14.63, 68.98, 0.11
13.10, 70.86, 0.06
12.49, 71.83, 0.03
12.93, 73.45, 0.02
11.52, 75.32, 0.01
10.67, 76.01, 0.01
10.39, 76.17, 0.00
9.66, 76.95, 0.00
9.42, 77.29, 0.00
9.30, 77.15, 0.00
9.62, 77.53, 0.00
9.70, 77.43, 0.00
9.86, 76.82, 0.00
10.23, 75.34, 0.00
11.96, 77.12, 0.00
10.19, 78.43, 0.00
9.34, 78.06, 0.00
9.18, 77.26, 0.00
10.27, 77.75, 0.00
10.23, 78.60, 0.00
9.14, 78.42, 0.00
9.94, 77.54, 0.00
10.19, 78.22, 0.00
9.66, 79.37, 0.00
8.89, 79.60, 0.00
8.61, 79.16, 0.00
9.42, 78.55, 0.00
10.23, 79.27, 0.00
9.50, 79.57, 0.00
9.34, 80.37, 0.00
8.69, 79.24, 0.00
9.74, 80.57, 0.00
9.09, 80.14, 0.00
9.18, 80.05, 0.00
8.93, 79.08, 0.00
10.15, 79.81, 0.00
9.38, 80.67, 0.00
8.81, 80.41, 0.00
9.34, 80.07, 0.00
9.30, 80.06, 0.00
9.82, 78.98, 0.00
10.51, 78.84, 0.00
10.06, 78.15, 0.00
10.71, 80.75, 0.00
8.57, 80.79, 0.00
8.49, 79.95, 0.00
