Unhappy, Sameness, Tolerance
31.04, 61.06, 0.05
21.42, 65.84, 0.01
16.49, 68.88, 0.00
13.46, 71.94, 0.00
11.36, 73.80, 0.00
9.94, 73.92, 0.00
11.40, 73.47, 0.00
11.76, 75.15, 0.00
10.75, 75.15, 0.00
10.55, 74.47, 0.00
10.75, 74.39, 0.00
11.03, 75.24, 0.00
10.79, 75.71, 0.00
10.59, 76.38, 0.00
10.27, 76.61, 0.00
9.74, 76.41, 0.00
10.23, 76.83, 0.00
10.19, 76.76, 0.00
10.02, 76.97, 0.00
10.55, 75.99, 0.00
10.67, 78.13, 0.00
9.50, 78.48, 0.00
9.38, 76.67, 0.00
10.87, 79.11, 0.00
9.74, 77.89, 0.00
10.02, 78.53, 0.00
9.34, 78.29, 0.00
9.74, 78.99, 0.00
8.77, 79.53, 0.00
8.53, 78.66, 0.00
9.46, 79.28, 0.00
8.73, 80.18, 0.00
7.68, 78.94, 0.00
8.93, 78.51, 0.00
9.58, 78.49, 0.00
9.62, 78.60, 0.00
9.30, 79.52, 0.00
8.89, 79.13, 0.00
9.09, 78.92, 0.00
9.62, 79.11, 0.00
9.66, 78.52, 0.00
10.31, 79.05, 0.00
10.27, 79.77, 0.00
9.18, 78.13, 0.00
9.90, 79.00, 0.00
9.86, 77.79, 0.00
10.67, 79.45, 0.00
9.42, 80.27, 0.00
9.26, 79.36, 0.00
10.27, 79.23, 0.00
9.86, 80.04, 0.00
8.85, 79.74, 0.00
9.50, 79.06, 0.00
10.06, 79.36, 0.00
9.54, 80.13, 0.00
9.38, 80.19, 0.00
9.66, 80.95, 0.00
8.53, 80.53, 0.00
9.05, 81.01, 0.00
8.45, 79.39, 0.00
9.90, 79.05, 0.00
10.23, 79.74, 0.00
9.98, 80.40, 0.00
9.54, 80.78, 0.00
9.54, 81.12, 0.00
