Unhappy, Sameness, Tolerance
31.77, 61.85, 0.00
20.25, 67.33, 0.00
15.52, 71.57, 0.00
12.69, 72.89, 0.00
12.21, 74.50, 0.00
11.48, 75.15, 0.00
10.79, 76.48, 0.00
9.98, 75.66, 0.00
10.55, 76.91, 0.00
10.15, 76.41, 0.00
11.03, 77.20, 0.00
9.62, 77.14, 0.00
10.23, 77.52, 0.00
10.06, 76.84, 0.00
10.67, 76.93, 0.00
10.55, 77.92, 0.00
10.11, 78.20, 0.00
10.19, 78.45, 0.00
10.02, 78.37, 0.00
9.86, 77.74, 0.00
10.11, 78.80, 0.00
9.74, 78.38, 0.00
9.86, 79.07, 0.00
9.70, 79.59, 0.00
9.58, 79.44, 0.00
9.30, 80.12, 0.00
9.01, 80.22, 0.00
9.26, 78.95, 0.00
10.27, 80.27, 0.00
8.89, 78.43, 0.00
9.74, 79.86, 0.00
9.26, 80.32, 0.00
9.01, 79.32, 0.00
10.06, 78.70, 0.00
10.75, 80.41, 0.00
9.46, 81.27, 0.00
8.77, 81.00, 0.00
8.97, 82.26, 0.00
8.29, 80.98, 0.00
8.57, 81.09, 0.00
9.09, 81.69, 0.00
8.69, 81.71, 0.00
8.33, 82.15, 0.00
8.25, 81.33, 0.00
9.01, 81.29, 0.00
8.85, 80.95, 0.00
9.22, 81.79, 0.00
8.16, 82.18, 0.00
7.40, 81.36, 0.00
8.49, 80.38, 0.00
9.26, 81.50, 0.00
8.33, 81.96, 0.00
8.25, 80.75, 0.00
