Unhappy, Sameness, Tolerance
25.22, 59.23, 0.24
20.65, 65.63, 0.07
15.52, 68.35, 0.02
13.66, 71.39, 0.01
11.76, 72.30, 0.00
11.84, 73.51, 0.00
10.39, 75.33, 0.00
9.74, 75.72, 0.00
9.74, 75.50, 0.00
9.62, 75.09, 0.00
10.02, 75.31, 0.00
10.35, 75.88, 0.00
10.59, 76.94, 0.00
9.38, 77.28, 0.00
9.70, 76.66, 0.00
9.86, 78.28, 0.00
8.37, 77.91, 0.00
8.41, 77.35, 0.00
9.34, 78.23, 0.00
8.57, 76.75, 0.00
10.27, 75.72, 0.00
10.91, 76.61, 0.00
10.02, 77.53, 0.00
9.42, 77.79, 0.00
9.50, 76.95, 0.00
10.11, 79.03, 0.00
8.97, 78.24, 0.00
9.34, 78.51, 0.00
9.09, 78.74, 0.00
9.34, 78.66, 0.00
9.66, 78.95, 0.00
8.97, 77.97, 0.00
9.46, 77.87, 0.00
9.62, 79.57, 0.00
9.05, 79.34, 0.00
9.22, 78.95, 0.00
10.15, 79.44, 0.00
9.50, 78.99, 0.00
9.09, 77.71, 0.00
9.90, 78.88, 0.00
8.89, 79.83, 0.00
8.97, 79.26, 0.00
9.14, 80.63, 0.00
8.89, 78.89, 0.00
9.34, 80.19, 0.00
8.73, 78.19, 0.00
9.66, 78.80, 0.00
9.46, 79.40, 0.00
8.89, 79.45, 0.00
9.46, 79.21, 0.00
9.62, 79.39, 0.00
9.22, 79.90, 0.00
9.01, 78.90, 0.00
9.26, 80.69, 0.00
8.81, 79.84, 0.00
9.46, 79.95, 0.00
9.98, 79.67, 0.00
9.70, 79.63, 0.00
9.86, 78.04, 0.00
11.40, 79.41, 0.00
10.11, 79.02, 0.00
10.67, 80.91, 0.00
9.18, 80.34, 0.00
9.58, 80.47, 0.00
9.58, 81.20, 0.00
