Unhappy, Sameness, Tolerance
31.04, 63.24, 0.00
17.83, 67.54, 0.00
14.51, 69.71, 0.00
13.10, 72.15, 0.00
11.64, 73.27, 0.00
10.91, 73.88, 0.00
12.21, 75.24, 0.00
10.11, 74.19, 0.00
11.28, 75.10, 0.00
9.90, 76.42, 0.00
8.97, 75.27, 0.00
9.74, 74.90, 0.00
10.47, 75.24, 0.00
10.63, 75.48, 0.00
10.15, 76.14, 0.00
9.74, 76.76, 0.00
9.58, 75.92, 0.00
10.71, 77.67, 0.00
9.09, 76.55, 0.00
10.15, 76.62, 0.00
10.19, 76.98, 0.00
9.38, 77.04, 0.00
9.62, 76.38, 0.00
10.43, 77.83, 0.00
9.38, 77.67, 0.00
9.70, 77.43, 0.00
10.79, 76.83, 0.00
10.71, 76.76, 0.00
10.31, 78.02, 0.00
9.62, 78.45, 0.00
9.46, 78.69, 0.00
9.22, 78.28, 0.00
10.06, 78.26, 0.00
9.98, 78.26, 0.00
9.66, 76.53, 0.00
10.71, 77.44, 0.00
10.27, 79.49, 0.00
8.49, 78.99, 0.00
9.38, 78.87, 0.00
9.62, 77.86, 0.00
10.67, 79.14, 0.00
9.74, 77.76, 0.00
10.55, 78.42, 0.00
9.86, 79.67, 0.00
9.01, 79.33, 0.00
9.26, 80.84, 0.00
8.29, 78.82, 0.00
9.54, 79.35, 0.00
9.14, 78.78, 0.00
9.70, 79.57, 0.00
9.22, 80.03, 0.00
9.30, 79.01, 0.00
