Unhappy, Sameness, Tolerance
30.32, 59.94, 0.13
21.10, 66.53, 0.00
15.60, 70.28, 0.00
12.97, 72.30, 0.00
12.09, 72.23, 0.00
11.60, 73.55, 0.00
11.64, 74.57, 0.00
10.79, 75.76, 0.00
9.54, 74.67, 0.00
10.67, 75.57, 0.00
10.63, 76.63, 0.00
9.62, 75.62, 0.00
10.59, 75.86, 0.00
9.90, 77.12, 0.00
9.66, 78.00, 0.00
9.18, 77.45, 0.00
10.11, 76.03, 0.00
10.47, 77.95, 0.00
9.82, 78.04, 0.00
9.74, 78.75, 0.00
9.26, 77.42, 0.00
10.35, 78.01, 0.00
9.34, 77.47, 0.00
10.39, 78.59, 0.00
9.30, 77.26, 0.00
10.02, 78.49, 0.00
9.01, 79.77, 0.00
8.21, 79.30, 0.00
8.81, 78.07, 0.00
10.06, 77.88, 0.00
9.82, 77.27, 0.00
10.31, 77.87, 0.00
9.82, 79.16, 0.00
8.08, 79.07, 0.00
9.46, 78.17, 0.00
9.34, 79.00, 0.00
9.09, 77.46, 0.00
9.94, 79.14, 0.00
8.93, 77.87, 0.00
10.35, 79.05, 0.00
9.42, 78.55, 0.00
9.54, 78.71, 0.00
9.58, 78.29, 0.00
9.62, 79.97, 0.00
8.61, 78.75, 0.00
10.47, 79.41, 0.00
9.82, 79.24, 0.00
9.66, 79.44, 0.00
9.86, 79.57, 0.00
9.54, 78.56, 0.00
10.15, 78.11, 0.00
10.91, 79.98, 0.00
9.34, 79.63, 0.00
9.42, 79.24, 0.00
