Unhappy, Sameness, Tolerance
34.32, 61.36, 0.01
20.94, 67.40, 0.00
14.27, 70.73, 0.00
12.29, 72.07, 0.00
10.75, 73.53, 0.00
10.51, 73.21, 0.00
10.95, 74.61, 0.00
9.74, 75.24, 0.00
9.98, 73.78, 0.00
11.08, 73.68, 0.00
11.24, 75.28, 0.00
10.47, 76.52, 0.00
9.05, 76.57, 0.00
9.46, 76.89, 0.00
8.73, 76.85, 0.00
9.26, 76.40, 0.00
9.94, 76.20, 0.00
9.74, 76.78, 0.00
9.50, 75.98, 0.00
10.19, 76.90, 0.00
9.62, 78.22, 0.00
9.22, 77.94, 0.00
9.58, 78.15, 0.00
9.66, 76.97, 0.00
10.67, 77.20, 0.00
9.62, 78.44, 0.00
8.93, 78.39, 0.00
9.01, 78.61, 0.00
9.01, 78.92, 0.00
8.53, 78.43, 0.00
8.81, 77.61, 0.00
9.74, 78.23, 0.00
9.46, 79.22, 0.00
8.29, 78.86, 0.00
8.65, 77.95, 0.00
9.46, 78.87, 0.00
9.05, 77.55, 0.00
10.11, 78.86, 0.00
8.81, 78.19, 0.00
9.26, 78.93, 0.00
9.18, 78.22, 0.00
9.42, 78.67, 0.00
8.81, 78.13, 0.00
9.94, 78.75, 0.00
9.22, 77.49, 0.00
10.23, 77.57, 0.00
9.62, 77.81, 0.00
10.06, 76.35, 0.00
11.36, 78.00, 0.00
9.66, 77.06, 0.00
9.78, 77.68, 0.00
9.66, 78.35, 0.00
9.50, 77.99, 0.00
9.90, 78.51, 0.00
9.78, 77.24, 0.00
10.39, 78.14, 0.00
10.43, 77.41, 0.00
