Unhappy, Sameness, Tolerance
26.27, 59.40, 0.20
17.02, 64.86, 0.18
12.41, 66.73, 0.17
10.95, 67.16, 0.16
10.59, 69.21, 0.15
9.34, 70.02, 0.15
9.90, 71.41, 0.14
8.53, 71.50, 0.14
8.33, 70.73, 0.13
9.18, 70.39, 0.13
10.23, 71.45, 0.12
9.01, 71.89, 0.12
8.81, 71.11, 0.12
9.46, 71.59, 0.12
8.65, 72.27, 0.11
8.97, 73.47, 0.11
8.08, 72.65, 0.11
8.73, 72.98, 0.11
8.49, 72.00, 0.11
9.54, 73.05, 0.10
8.57, 74.40, 0.10
7.60, 74.07, 0.10
8.73, 74.00, 0.10
8.89, 74.46, 0.09
8.85, 74.34, 0.09
8.45, 74.65, 0.09
8.41, 74.98, 0.09
8.12, 74.26, 0.08
9.09, 74.44, 0.08
10.02, 73.62, 0.08
10.55, 75.28, 0.08
8.97, 73.97, 0.08
9.94, 74.05, 0.08
9.90, 74.51, 0.08
9.98, 75.34, 0.08
8.65, 75.15, 0.08
8.73, 74.96, 0.08
8.25, 74.52, 0.08
8.97, 74.39, 0.08
9.74, 74.00, 0.08
9.46, 74.43, 0.07
9.82, 74.99, 0.07
9.38, 75.67, 0.07
9.46, 77.02, 0.07
8.04, 76.12, 0.06
8.37, 76.04, 0.06
8.73, 76.18, 0.06
8.53, 76.96, 0.06
9.01, 76.57, 0.06
9.09, 76.46, 0.06
