Unhappy, Sameness, Tolerance
19.16, 56.06, 0.43
8.04, 56.78, 0.63
4.61, 56.86, 0.77
1.98, 56.37, 0.89
1.01, 55.14, 0.95
0.49, 54.37, 0.97
0.57, 53.40, 0.98
0.49, 52.69, 0.99
0.28, 52.61, 0.99
0.16, 52.03, 0.99
0.04, 51.38, 1.00
0.08, 50.74, 1.00
0.04, 51.01, 1.00
0.04, 50.20, 1.00
0.00, 50.09, 1.00
0.00, 50.37, 1.00
0.00, 50.44, 1.00
0.00, 50.11, 1.00
0.00, 50.43, 1.00
0.00, 50.95, 1.00
0.00, 50.44, 1.00
0.00, 50.40, 1.00
0.00, 50.07, 1.00
0.00, 49.72, 1.00
0.00, 49.93, 1.00
0.00, 50.17, 1.00
0.00, 50.62, 1.00
0.00, 50.37, 1.00
0.00, 50.62, 1.00
0.00, 50.17, 1.00
0.00, 49.40, 1.00
0.00, 49.15, 1.00
0.00, 48.85, 1.00
0.00, 49.24, 1.00
0.00, 49.54, 1.00
0.00, 49.85, 1.00
0.00, 49.80, 1.00
0.00, 49.83, 1.00
0.00, 49.71, 1.00
0.00, 50.51, 1.00
0.00, 50.47, 1.00
0.00, 49.99, 1.00
0.00, 49.64, 1.00
0.00, 50.02, 1.00
0.00, 49.63, 1.00
0.00, 50.12, 1.00
0.00, 49.75, 1.00
0.00, 49.75, 1.00
0.00, 49.59, 1.00
0.00, 49.40, 1.00
