Unhappy, Sameness, Tolerance
15.12, 55.76, 0.57
8.41, 57.61, 0.60
6.63, 59.14, 0.63
4.45, 59.40, 0.65
3.35, 58.90, 0.67
2.67, 57.86, 0.70
2.43, 57.69, 0.73
2.59, 57.29, 0.75
2.18, 56.64, 0.80
1.46, 56.65, 0.87
0.61, 55.42, 0.95
0.16, 54.84, 0.99
0.00, 53.78, 1.00
0.00, 52.65, 1.00
0.00, 51.88, 1.00
0.00, 51.47, 1.00
0.00, 51.06, 1.00
0.00, 51.34, 1.00
0.00, 51.27, 1.00
0.00, 51.07, 1.00
0.00, 51.33, 1.00
0.00, 51.10, 1.00
0.00, 50.44, 1.00
0.00, 50.21, 1.00
0.00, 49.84, 1.00
0.00, 50.24, 1.00
0.00, 50.51, 1.00
0.00, 50.18, 1.00
0.00, 49.94, 1.00
0.00, 49.70, 1.00
0.00, 49.73, 1.00
0.00, 49.78, 1.00
0.00, 49.74, 1.00
0.00, 50.15, 1.00
0.00, 49.88, 1.00
0.00, 49.50, 1.00
0.00, 49.47, 1.00
0.00, 49.67, 1.00
0.00, 49.42, 1.00
0.00, 49.52, 1.00
0.00, 49.48, 1.00
0.00, 49.54, 1.00
0.00, 49.67, 1.00
0.00, 49.93, 1.00
0.00, 49.68, 1.00
0.00, 49.95, 1.00
0.00, 50.17, 1.00
0.00, 49.82, 1.00
0.00, 50.28, 1.00
0.00, 50.72, 1.00
