Unhappy, Sameness, Tolerance
8.21, 52.47, 0.77
4.97, 53.44, 0.77
3.31, 53.87, 0.77
3.23, 54.05, 0.77
2.91, 54.00, 0.78
2.91, 54.08, 0.78
3.07, 54.56, 0.78
2.38, 54.52, 0.79
2.34, 54.31, 0.79
2.18, 54.57, 0.79
1.94, 54.50, 0.80
2.06, 54.61, 0.81
2.18, 54.85, 0.81
2.22, 55.05, 0.82
1.94, 55.02, 0.82
1.62, 54.69, 0.82
2.14, 54.09, 0.82
2.06, 53.98, 0.82
2.30, 53.86, 0.82
1.98, 53.86, 0.83
1.94, 54.11, 0.83
2.02, 54.30, 0.83
2.51, 54.31, 0.83
1.86, 54.12, 0.83
1.54, 54.39, 0.83
2.10, 54.19, 0.83
1.78, 53.58, 0.83
1.58, 53.44, 0.83
1.50, 53.23, 0.84
1.70, 53.27, 0.84
1.90, 53.47, 0.84
1.54, 53.48, 0.84
1.46, 53.01, 0.85
1.66, 52.93, 0.85
1.86, 53.16, 0.85
1.74, 52.79, 0.85
1.37, 52.98, 0.85
1.41, 53.36, 0.86
1.86, 53.21, 0.86
1.66, 53.82, 0.86
1.58, 53.59, 0.87
1.41, 54.18, 0.87
1.46, 53.91, 0.87
1.33, 53.53, 0.87
1.62, 53.46, 0.88
1.50, 53.05, 0.88
1.41, 52.51, 0.88
1.66, 52.83, 0.88
1.33, 52.89, 0.88
1.09, 52.72, 0.89
1.78, 52.96, 0.89
1.58, 53.03, 0.89
1.29, 53.07, 0.89
0.97, 53.32, 0.90
0.89, 53.52, 0.90
