Unhappy, Sameness, Tolerance
1.58, 50.47, 0.96
0.04, 50.52, 1.00
0.00, 50.52, 1.00
0.00, 50.37, 1.00
0.00, 50.63, 1.00
0.00, 49.60, 1.00
0.00, 49.79, 1.00
0.00, 49.69, 1.00
0.00, 49.94, 1.00
0.00, 50.10, 1.00
0.00, 50.16, 1.00
0.00, 50.40, 1.00
0.00, 50.24, 1.00
0.00, 50.01, 1.00
0.00, 49.69, 1.00
0.00, 49.22, 1.00
0.00, 49.49, 1.00
0.00, 49.54, 1.00
0.00, 49.74, 1.00
0.00, 49.91, 1.00
0.00, 49.92, 1.00
0.00, 49.64, 1.00
0.00, 49.94, 1.00
0.00, 50.31, 1.00
0.00, 50.48, 1.00
0.00, 50.19, 1.00
0.00, 49.05, 1.00
0.00, 49.50, 1.00
0.00, 50.01, 1.00
0.00, 49.96, 1.00
0.00, 49.56, 1.00
0.00, 49.91, 1.00
0.00, 50.21, 1.00
0.00, 50.32, 1.00
0.00, 50.54, 1.00
0.00, 50.13, 1.00
0.00, 49.55, 1.00
0.00, 49.83, 1.00
0.00, 50.13, 1.00
0.00, 49.64, 1.00
0.00, 49.50, 1.00
0.00, 49.28, 1.00
0.00, 49.28, 1.00
0.00, 49.68, 1.00
0.00, 49.49, 1.00
0.00, 49.37, 1.00
0.00, 49.79, 1.00
0.00, 50.37, 1.00
0.00, 50.11, 1.00
0.00, 50.22, 1.00
