Unhappy, Sameness, Tolerance
4.61, 51.42, 0.85
0.12, 51.63, 0.99
0.00, 51.61, 1.00
0.00, 51.09, 1.00
0.00, 50.54, 1.00
0.00, 50.75, 1.00
0.00, 50.77, 1.00
0.00, 50.54, 1.00
0.00, 50.67, 1.00
0.00, 50.66, 1.00
0.00, 51.03, 1.00
0.00, 51.22, 1.00
0.00, 50.97, 1.00
0.00, 51.35, 1.00
0.00, 51.30, 1.00
0.00, 51.08, 1.00
0.00, 51.32, 1.00
0.00, 51.13, 1.00
0.00, 51.26, 1.00
0.00, 51.13, 1.00
0.00, 50.77, 1.00
0.00, 50.42, 1.00
0.00, 50.67, 1.00
0.00, 50.53, 1.00
0.00, 50.41, 1.00
0.00, 50.24, 1.00
0.00, 50.24, 1.00
0.00, 50.03, 1.00
0.00, 49.60, 1.00
0.00, 49.29, 1.00
0.00, 49.28, 1.00
0.00, 49.21, 1.00
0.00, 49.23, 1.00
0.00, 48.81, 1.00
0.00, 48.94, 1.00
0.00, 49.20, 1.00
0.00, 49.42, 1.00
0.00, 49.07, 1.00
0.00, 49.51, 1.00
0.00, 49.52, 1.00
0.00, 49.73, 1.00
0.00, 49.14, 1.00
0.00, 49.13, 1.00
0.00, 49.44, 1.00
0.00, 49.72, 1.00
0.00, 49.79, 1.00
0.00, 50.09, 1.00
0.00, 50.27, 1.00
0.00, 49.72, 1.00
0.00, 48.87, 1.00
