Unhappy, Sameness, Tolerance
32.54, 61.38, 0.01
20.25, 67.48, 0.00
15.24, 71.34, 0.00
12.41, 72.35, 0.00
12.29, 72.56, 0.00
11.96, 73.56, 0.00
11.40, 74.72, 0.00
10.87, 75.36, 0.00
10.19, 75.11, 0.00
11.03, 75.58, 0.00
10.15, 76.07, 0.00
9.78, 76.93, 0.00
9.94, 76.95, 0.00
9.82, 77.72, 0.00
9.30, 77.36, 0.00
9.50, 76.14, 0.00
10.51, 75.92, 0.00
10.39, 75.92, 0.00
10.23, 76.72, 0.00
9.54, 77.71, 0.00
9.05, 79.26, 0.00
8.00, 77.73, 0.00
9.42, 77.83, 0.00
9.82, 77.17, 0.00
9.86, 77.22, 0.00
10.35, 78.26, 0.00
9.46, 78.47, 0.00
9.01, 80.22, 0.00
7.32, 80.64, 0.00
7.19, 79.76, 0.00
8.33, 78.48, 0.00
9.78, 79.80, 0.00
8.89, 79.90, 0.00
8.81, 78.47, 0.00
9.26, 79.00, 0.00
9.38, 78.93, 0.00
9.22, 78.69, 0.00
9.46, 80.51, 0.00
8.89, 80.03, 0.00
8.89, 79.95, 0.00
8.97, 80.63, 0.00
8.08, 80.58, 0.00
8.89, 79.36, 0.00
9.14, 80.38, 0.00
8.45, 79.13, 0.00
9.42, 78.25, 0.00
10.15, 78.79, 0.00
9.78, 78.92, 0.00
10.02, 80.06, 0.00
9.26, 80.43, 0.00
8.69, 80.10, 0.00
9.22, 80.40, 0.00
8.65, 81.10, 0.00
8.65, 80.97, 0.00
