Unhappy, Sameness, Tolerance
8.25, 51.90, 0.76
7.03, 54.37, 0.78
6.06, 54.97, 0.79
5.54, 56.03, 0.79
4.81, 56.21, 0.79
4.20, 56.66, 0.80
4.61, 56.86, 0.79
4.73, 57.08, 0.80
4.12, 57.23, 0.81
3.23, 56.42, 0.84
3.44, 56.63, 0.86
2.67, 55.65, 0.87
3.40, 55.74, 0.87
2.91, 56.21, 0.86
2.59, 54.83, 0.85
3.31, 54.81, 0.85
3.44, 55.52, 0.86
4.12, 55.96, 0.83
4.97, 57.01, 0.81
4.08, 57.31, 0.81
3.80, 57.56, 0.81
4.12, 57.61, 0.81
3.92, 57.68, 0.81
3.88, 56.86, 0.83
4.81, 56.97, 0.80
5.66, 58.12, 0.76
5.38, 57.96, 0.74
4.89, 58.28, 0.76
4.69, 58.47, 0.76
5.21, 59.67, 0.77
4.32, 60.28, 0.76
4.20, 59.51, 0.78
4.20, 59.65, 0.79
4.41, 60.07, 0.78
4.24, 59.89, 0.78
4.16, 60.04, 0.81
3.44, 59.08, 0.82
3.56, 58.27, 0.80
4.45, 58.58, 0.79
4.65, 58.15, 0.78
5.58, 58.77, 0.77
4.97, 59.17, 0.78
4.32, 59.68, 0.80
4.24, 60.06, 0.81
3.15, 59.34, 0.84
2.95, 58.98, 0.84
2.63, 58.52, 0.86
3.07, 57.47, 0.86
2.59, 57.09, 0.86
2.71, 55.98, 0.87
3.76, 56.14, 0.86
3.60, 56.71, 0.86
3.03, 56.43, 0.86
3.72, 56.14, 0.85
3.44, 56.61, 0.85
2.87, 56.65, 0.86
2.67, 56.23, 0.87
2.26, 55.83, 0.90
1.86, 56.03, 0.92
1.98, 55.83, 0.91
2.10, 56.01, 0.91
1.37, 54.97, 0.94
1.29, 54.46, 0.95
