Unhappy, Sameness, Tolerance
26.23, 60.27, 0.21
16.65, 63.77, 0.19
12.49, 66.21, 0.19
10.15, 67.82, 0.19
8.85, 67.92, 0.19
9.78, 68.81, 0.19
8.53, 68.34, 0.19
8.33, 68.26, 0.19
8.25, 69.00, 0.19
8.08, 68.45, 0.19
7.84, 68.18, 0.19
8.73, 68.39, 0.19
8.37, 68.56, 0.19
8.61, 69.61, 0.19
8.12, 69.09, 0.19
8.25, 69.33, 0.19
8.00, 68.56, 0.19
8.61, 69.93, 0.19
8.08, 69.96, 0.19
7.48, 70.07, 0.19
7.76, 71.35, 0.19
7.11, 72.19, 0.19
6.87, 71.66, 0.19
7.76, 71.30, 0.19
8.08, 71.02, 0.19
6.75, 71.11, 0.19
6.79, 69.79, 0.19
7.56, 70.47, 0.19
7.24, 70.36, 0.19
7.96, 70.04, 0.19
7.56, 69.97, 0.19
8.29, 70.07, 0.19
7.84, 70.41, 0.19
7.11, 69.02, 0.19
8.53, 69.25, 0.19
8.53, 69.52, 0.19
8.97, 69.37, 0.19
8.93, 69.70, 0.19
7.92, 69.64, 0.19
8.12, 70.36, 0.19
7.96, 70.50, 0.19
7.84, 70.31, 0.19
8.08, 68.82, 0.19
9.09, 68.77, 0.19
9.38, 69.31, 0.19
8.73, 69.14, 0.19
9.14, 70.19, 0.19
8.21, 69.74, 0.19
8.45, 70.25, 0.19
8.53, 70.35, 0.19
