Unhappy, Sameness, Tolerance
16.77, 55.22, 0.52
9.58, 57.16, 0.52
7.76, 58.73, 0.53
5.82, 59.24, 0.53
5.70, 59.74, 0.54
5.62, 59.66, 0.54
5.58, 60.09, 0.55
4.89, 59.84, 0.56
5.01, 59.71, 0.56
4.61, 60.23, 0.57
3.88, 59.87, 0.58
4.77, 60.15, 0.58
4.85, 59.99, 0.58
4.32, 60.17, 0.59
4.41, 59.07, 0.59
5.01, 60.14, 0.59
4.37, 59.31, 0.60
4.41, 58.70, 0.60
4.57, 58.61, 0.61
4.37, 58.41, 0.62
4.16, 57.98, 0.64
4.53, 58.79, 0.65
3.56, 58.94, 0.67
2.91, 58.74, 0.69
2.59, 58.00, 0.72
2.75, 57.61, 0.77
2.22, 57.26, 0.81
1.13, 56.55, 0.87
0.69, 55.19, 0.93
0.20, 53.90, 0.98
0.04, 53.07, 1.00
0.00, 52.46, 1.00
0.00, 51.90, 1.00
0.00, 51.46, 1.00
0.00, 50.76, 1.00
0.00, 50.44, 1.00
0.00, 49.72, 1.00
0.00, 49.84, 1.00
0.00, 50.03, 1.00
0.00, 49.79, 1.00
0.00, 49.58, 1.00
0.00, 49.83, 1.00
0.00, 49.52, 1.00
0.00, 50.01, 1.00
0.00, 49.97, 1.00
0.00, 50.12, 1.00
0.00, 50.93, 1.00
0.00, 50.32, 1.00
0.00, 50.43, 1.00
0.00, 50.41, 1.00
