Unhappy, Sameness, Tolerance
0.40, 50.11, 0.99
0.00, 49.96, 1.00
0.00, 50.24, 1.00
0.00, 50.51, 1.00
0.00, 50.75, 1.00
0.00, 50.93, 1.00
0.00, 50.70, 1.00
0.00, 51.14, 1.00
0.00, 50.95, 1.00
0.00, 50.93, 1.00
0.00, 50.86, 1.00
0.00, 51.02, 1.00
0.00, 50.89, 1.00
0.00, 50.60, 1.00
0.00, 50.50, 1.00
0.00, 50.24, 1.00
0.00, 50.53, 1.00
0.00, 50.35, 1.00
0.00, 50.11, 1.00
0.00, 50.43, 1.00
0.00, 49.96, 1.00
0.00, 50.07, 1.00
0.00, 50.57, 1.00
0.00, 50.13, 1.00
0.00, 49.85, 1.00
0.00, 50.22, 1.00
0.00, 50.49, 1.00
0.00, 50.67, 1.00
0.00, 50.93, 1.00
0.00, 51.58, 1.00
0.00, 51.39, 1.00
0.00, 51.36, 1.00
0.00, 51.35, 1.00
0.00, 51.13, 1.00
0.00, 51.20, 1.00
0.00, 51.51, 1.00
0.00, 51.48, 1.00
0.00, 51.20, 1.00
0.00, 50.99, 1.00
0.00, 50.73, 1.00
0.00, 50.38, 1.00
0.00, 50.18, 1.00
0.00, 49.79, 1.00
0.00, 49.65, 1.00
0.00, 49.35, 1.00
0.00, 49.72, 1.00
0.00, 50.04, 1.00
0.00, 49.80, 1.00
0.00, 49.66, 1.00
0.00, 50.26, 1.00
