Unhappy, Sameness, Tolerance
32.58, 62.10, 0.01
19.68, 67.66, 0.00
14.59, 70.31, 0.00
12.89, 71.98, 0.00
11.92, 73.65, 0.00
10.27, 72.80, 0.00
11.88, 73.73, 0.00
11.12, 75.33, 0.00
9.86, 75.76, 0.00
9.66, 75.34, 0.00
9.22, 75.87, 0.00
9.46, 75.27, 0.00
9.94, 75.67, 0.00
9.78, 76.71, 0.00
9.26, 76.98, 0.00
9.50, 77.07, 0.00
8.93, 75.89, 0.00
9.94, 76.61, 0.00
10.31, 76.86, 0.00
10.51, 75.97, 0.00
11.16, 75.68, 0.00
10.95, 77.04, 0.00
10.11, 78.27, 0.00
9.14, 77.49, 0.00
9.62, 77.52, 0.00
9.94, 78.78, 0.00
9.26, 78.15, 0.00
9.78, 79.06, 0.00
8.85, 78.35, 0.00
8.93, 79.32, 0.00
8.61, 78.35, 0.00
10.06, 78.85, 0.00
9.42, 79.47, 0.00
8.77, 78.87, 0.00
9.34, 78.15, 0.00
10.15, 78.94, 0.00
9.70, 79.29, 0.00
9.26, 80.33, 0.00
9.05, 78.77, 0.00
10.11, 80.49, 0.00
8.97, 80.43, 0.00
9.09, 78.47, 0.00
10.19, 78.58, 0.00
10.02, 80.18, 0.00
8.69, 80.39, 0.00
9.26, 80.03, 0.00
9.09, 79.58, 0.00
10.02, 79.99, 0.00
9.46, 81.88, 0.00
8.41, 80.64, 0.00
8.89, 81.20, 0.00
8.49, 81.58, 0.00
8.81, 80.16, 0.00
9.58, 80.73, 0.00
8.97, 82.45, 0.00
8.33, 80.84, 0.00
9.46, 80.67, 0.00
8.89, 79.42, 0.00
9.70, 79.38, 0.00
9.62, 78.86, 0.00
