Unhappy, Sameness, Tolerance
34.72, 62.79, 0.00
19.44, 68.88, 0.00
13.99, 71.73, 0.00
12.29, 72.63, 0.00
11.88, 74.31, 0.00
9.98, 74.82, 0.00
10.06, 74.48, 0.00
10.99, 74.39, 0.00
11.24, 75.58, 0.00
9.78, 75.24, 0.00
10.31, 75.46, 0.00
9.94, 75.93, 0.00
10.27, 76.39, 0.00
9.78, 76.64, 0.00
10.11, 75.56, 0.00
11.03, 76.43, 0.00
10.67, 77.87, 0.00
9.09, 76.59, 0.00
9.54, 77.07, 0.00
9.70, 78.17, 0.00
9.05, 76.90, 0.00
9.62, 75.93, 0.00
10.39, 76.28, 0.00
9.90, 75.06, 0.00
11.32, 76.20, 0.00
10.79, 77.09, 0.00
9.66, 76.28, 0.00
10.35, 77.69, 0.00
9.30, 77.77, 0.00
9.62, 78.70, 0.00
8.85, 78.78, 0.00
8.65, 76.91, 0.00
10.02, 78.12, 0.00
9.42, 77.32, 0.00
9.78, 77.18, 0.00
10.27, 79.17, 0.00
9.34, 78.57, 0.00
9.09, 80.51, 0.00
7.72, 79.86, 0.00
8.53, 78.29, 0.00
9.22, 79.33, 0.00
8.85, 79.18, 0.00
9.38, 78.49, 0.00
9.62, 78.17, 0.00
9.94, 78.56, 0.00
9.50, 78.77, 0.00
9.54, 79.03, 0.00
9.62, 78.44, 0.00
9.82, 78.77, 0.00
9.70, 79.50, 0.00
9.30, 79.25, 0.00
9.34, 78.73, 0.00
