Unhappy, Sameness, Tolerance
15.08, 54.50, 0.59
15.00, 59.38, 0.43
15.32, 63.64, 0.27
15.68, 68.08, 0.16
12.93, 70.75, 0.08
11.68, 71.78, 0.04
11.52, 72.78, 0.03
11.44, 74.65, 0.01
10.43, 74.99, 0.00
9.70, 76.15, 0.00
9.22, 74.97, 0.00
9.98, 75.15, 0.00
10.39, 76.14, 0.00
10.51, 76.69, 0.00
10.06, 76.04, 0.00
10.55, 75.92, 0.00
10.75, 75.19, 0.00
11.40, 77.24, 0.00
9.34, 77.02, 0.00
10.35, 76.46, 0.00
10.27, 76.09, 0.00
10.67, 75.18, 0.00
11.12, 76.87, 0.00
10.02, 77.58, 0.00
9.66, 78.91, 0.00
8.85, 78.19, 0.00
9.30, 78.91, 0.00
9.18, 78.39, 0.00
10.27, 78.55, 0.00
9.86, 78.72, 0.00
9.42, 78.41, 0.00
9.42, 78.85, 0.00
9.34, 79.39, 0.00
9.30, 77.74, 0.00
10.02, 77.96, 0.00
10.35, 78.32, 0.00
9.82, 79.22, 0.00
9.38, 79.36, 0.00
8.97, 78.90, 0.00
9.62, 79.24, 0.00
9.70, 79.87, 0.00
9.18, 80.09, 0.00
9.22, 77.87, 0.00
10.19, 78.70, 0.00
9.74, 79.93, 0.00
9.09, 80.83, 0.00
8.41, 81.53, 0.00
7.96, 80.31, 0.00
8.97, 80.40, 0.00
8.85, 79.68, 0.00
9.62, 79.82, 0.00
9.70, 80.53, 0.00
