Unhappy, Sameness, Tolerance
14.51, 55.66, 0.58
7.56, 57.93, 0.65
4.57, 58.60, 0.70
3.40, 58.21, 0.75
2.26, 56.92, 0.82
1.01, 56.63, 0.90
0.40, 55.59, 0.96
0.08, 54.54, 0.99
0.00, 53.99, 1.00
0.00, 53.03, 1.00
0.00, 52.29, 1.00
0.00, 51.93, 1.00
0.00, 51.55, 1.00
0.00, 51.22, 1.00
0.00, 51.29, 1.00
0.00, 50.94, 1.00
0.00, 50.55, 1.00
0.00, 50.19, 1.00
0.00, 50.35, 1.00
0.00, 50.13, 1.00
0.00, 50.29, 1.00
0.00, 50.60, 1.00
0.00, 50.27, 1.00
0.00, 50.30, 1.00
0.00, 50.64, 1.00
0.00, 50.75, 1.00
0.00, 50.81, 1.00
0.00, 51.07, 1.00
0.00, 51.23, 1.00
0.00, 50.89, 1.00
0.00, 50.59, 1.00
0.00, 50.68, 1.00
0.00, 50.45, 1.00
0.00, 50.46, 1.00
0.00, 50.07, 1.00
0.00, 49.30, 1.00
0.00, 49.13, 1.00
0.00, 48.94, 1.00
0.00, 48.93, 1.00
0.00, 49.03, 1.00
0.00, 49.48, 1.00
0.00, 49.27, 1.00
0.00, 49.32, 1.00
0.00, 48.97, 1.00
0.00, 49.54, 1.00
0.00, 49.70, 1.00
0.00, 49.86, 1.00
0.00, 49.81, 1.00
0.00, 50.15, 1.00
0.00, 50.39, 1.00
