Unhappy, Sameness, Tolerance
1.33, 50.76, 0.96
0.00, 50.63, 1.00
0.00, 50.04, 1.00
0.00, 50.16, 1.00
0.00, 49.94, 1.00
0.00, 49.93, 1.00
0.00, 50.33, 1.00
0.00, 50.23, 1.00
0.00, 49.66, 1.00
0.00, 49.75, 1.00
0.00, 49.96, 1.00
0.00, 49.77, 1.00
0.00, 49.95, 1.00
0.00, 49.56, 1.00
0.00, 49.78, 1.00
0.00, 49.42, 1.00
0.00, 49.47, 1.00
0.00, 50.17, 1.00
0.00, 49.95, 1.00
0.00, 49.84, 1.00
0.00, 49.99, 1.00
0.00, 49.65, 1.00
0.00, 49.96, 1.00
0.00, 49.93, 1.00
0.00, 50.20, 1.00
0.00, 50.78, 1.00
0.00, 50.37, 1.00
0.00, 50.37, 1.00
0.00, 49.99, 1.00
0.00, 49.57, 1.00
0.00, 49.81, 1.00
0.00, 49.30, 1.00
0.00, 49.02, 1.00
0.00, 49.04, 1.00
0.00, 49.09, 1.00
0.00, 49.33, 1.00
0.00, 49.25, 1.00
0.00, 48.88, 1.00
0.00, 49.16, 1.00
0.00, 48.89, 1.00
0.00, 49.23, 1.00
0.00, 49.53, 1.00
0.00, 49.40, 1.00
0.00, 49.93, 1.00
0.00, 49.66, 1.00
0.00, 49.67, 1.00
0.00, 49.48, 1.00
0.00, 49.74, 1.00
0.00, 49.92, 1.00
0.00, 50.18, 1.00
