Unhappy, Sameness, Tolerance
8.12, 53.57, 0.76
1.70, 52.92, 0.93
0.28, 52.68, 0.98
0.08, 52.30, 1.00
0.04, 52.25, 1.00
0.00, 52.10, 1.00
0.00, 51.47, 1.00
0.00, 51.07, 1.00
0.00, 50.96, 1.00
0.00, 50.56, 1.00
0.00, 50.81, 1.00
0.00, 49.92, 1.00
0.00, 50.59, 1.00
0.00, 50.80, 1.00
0.00, 50.67, 1.00
0.00, 50.66, 1.00
0.00, 50.60, 1.00
0.00, 50.59, 1.00
0.00, 50.31, 1.00
0.00, 50.18, 1.00
0.00, 49.89, 1.00
0.00, 49.21, 1.00
0.00, 49.25, 1.00
0.00, 49.54, 1.00
0.00, 49.56, 1.00
0.00, 49.80, 1.00
0.00, 49.39, 1.00
0.00, 49.68, 1.00
0.00, 50.23, 1.00
0.00, 50.59, 1.00
0.00, 50.96, 1.00
0.00, 51.17, 1.00
0.00, 51.45, 1.00
0.00, 51.47, 1.00
0.00, 51.06, 1.00
0.00, 50.95, 1.00
0.00, 51.01, 1.00
0.00, 50.02, 1.00
0.00, 49.92, 1.00
0.00, 49.75, 1.00
0.00, 50.04, 1.00
0.00, 49.80, 1.00
0.00, 50.01, 1.00
0.00, 50.15, 1.00
0.00, 50.20, 1.00
0.00, 50.25, 1.00
0.00, 50.39, 1.00
0.00, 50.32, 1.00
0.00, 49.56, 1.00
0.00, 49.99, 1.00
