Unhappy, Sameness, Tolerance
18.55, 56.23, 0.49
12.41, 59.74, 0.48
7.96, 61.41, 0.48
6.59, 61.38, 0.48
6.18, 62.27, 0.47
6.14, 62.93, 0.47
5.78, 61.45, 0.46
6.47, 61.72, 0.46
5.66, 62.05, 0.46
5.58, 62.24, 0.45
5.94, 62.28, 0.45
5.94, 61.31, 0.44
6.63, 61.81, 0.43
6.22, 62.34, 0.42
6.63, 62.85, 0.41
7.15, 63.95, 0.39
6.83, 64.04, 0.38
6.67, 64.00, 0.37
7.32, 64.24, 0.36
7.96, 64.70, 0.35
8.41, 64.99, 0.32
9.05, 66.63, 0.29
9.26, 67.28, 0.24
9.90, 68.75, 0.19
11.08, 69.55, 0.12
12.33, 71.39, 0.05
12.37, 72.51, 0.01
11.88, 74.30, 0.00
10.75, 73.56, 0.00
11.60, 74.95, 0.00
10.79, 74.07, 0.00
10.47, 76.31, 0.00
10.43, 75.59, 0.00
10.31, 76.73, 0.00
9.74, 76.78, 0.00
9.62, 76.51, 0.00
10.06, 76.14, 0.00
10.55, 76.65, 0.00
9.30, 78.25, 0.00
8.57, 77.51, 0.00
9.54, 76.64, 0.00
9.70, 76.61, 0.00
10.06, 76.43, 0.00
9.94, 76.64, 0.00
9.66, 77.79, 0.00
9.50, 77.36, 0.00
10.02, 77.97, 0.00
10.11, 76.38, 0.00
10.99, 77.89, 0.00
9.70, 77.81, 0.00
9.54, 77.00, 0.00
9.86, 79.60, 0.00
8.49, 79.65, 0.00
8.77, 79.02, 0.00
9.34, 78.53, 0.00
9.42, 78.42, 0.00
