Unhappy, Sameness, Tolerance
32.66, 60.99, 0.00
20.86, 67.17, 0.00
16.49, 70.06, 0.00
13.50, 72.01, 0.00
11.40, 72.81, 0.00
11.52, 74.04, 0.00
11.32, 75.46, 0.00
9.50, 75.36, 0.00
9.78, 75.69, 0.00
9.42, 75.60, 0.00
10.02, 75.82, 0.00
10.15, 74.60, 0.00
11.28, 74.77, 0.00
10.91, 75.90, 0.00
11.12, 77.50, 0.00
9.18, 77.81, 0.00
9.09, 77.57, 0.00
9.42, 76.21, 0.00
10.27, 77.63, 0.00
8.93, 78.58, 0.00
8.97, 77.89, 0.00
9.09, 77.86, 0.00
8.97, 77.91, 0.00
9.50, 77.79, 0.00
9.54, 77.60, 0.00
9.74, 76.94, 0.00
10.63, 77.48, 0.00
9.82, 78.56, 0.00
9.26, 78.25, 0.00
9.46, 77.09, 0.00
10.91, 76.50, 0.00
10.47, 77.30, 0.00
10.75, 77.30, 0.00
10.47, 78.33, 0.00
9.82, 77.52, 0.00
10.19, 76.97, 0.00
9.78, 76.74, 0.00
10.75, 78.75, 0.00
9.94, 78.34, 0.00
9.74, 78.54, 0.00
9.26, 78.76, 0.00
9.66, 79.03, 0.00
9.42, 79.53, 0.00
9.30, 78.70, 0.00
9.74, 78.14, 0.00
9.70, 79.42, 0.00
8.73, 80.56, 0.00
8.61, 78.88, 0.00
9.42, 79.08, 0.00
9.74, 79.83, 0.00
9.34, 78.90, 0.00
9.54, 79.84, 0.00
8.49, 79.86, 0.00
8.61, 79.27, 0.00
9.58, 78.29, 0.00
9.90, 79.29, 0.00
9.82, 78.89, 0.00
