Unhappy, Sameness, Tolerance
13.66, 53.65, 0.62
14.79, 58.66, 0.44
16.29, 63.04, 0.26
15.16, 66.10, 0.16
14.55, 69.27, 0.07
13.30, 71.84, 0.03
11.80, 72.93, 0.02
11.76, 73.31, 0.01
11.20, 74.68, 0.01
10.71, 75.17, 0.00
10.59, 75.96, 0.00
10.63, 74.78, 0.00
10.83, 75.69, 0.00
10.47, 77.17, 0.00
9.58, 76.89, 0.00
9.34, 77.44, 0.00
9.70, 76.10, 0.00
10.43, 76.36, 0.00
10.59, 77.77, 0.00
9.50, 78.44, 0.00
8.77, 78.30, 0.00
8.97, 76.91, 0.00
9.98, 78.51, 0.00
8.89, 77.58, 0.00
9.86, 77.57, 0.00
9.34, 76.42, 0.00
9.90, 77.02, 0.00
9.46, 76.68, 0.00
9.94, 78.08, 0.00
8.93, 78.20, 0.00
9.70, 79.00, 0.00
9.05, 78.60, 0.00
8.81, 77.50, 0.00
9.90, 77.24, 0.00
10.23, 78.21, 0.00
10.11, 79.31, 0.00
9.34, 78.83, 0.00
9.70, 77.52, 0.00
10.63, 77.23, 0.00
10.35, 77.49, 0.00
10.06, 78.60, 0.00
9.22, 79.13, 0.00
8.61, 80.11, 0.00
8.25, 80.84, 0.00
8.41, 79.08, 0.00
9.34, 78.03, 0.00
10.02, 78.92, 0.00
9.54, 78.81, 0.00
9.46, 79.92, 0.00
8.49, 79.56, 0.00
8.89, 78.55, 0.00
9.46, 77.75, 0.00
10.23, 78.09, 0.00
10.11, 78.67, 0.00
9.78, 79.13, 0.00
9.50, 79.24, 0.00
9.34, 79.26, 0.00
9.09, 79.75, 0.00
9.50, 79.26, 0.00
9.70, 78.90, 0.00
9.62, 79.24, 0.00
