Unhappy, Sameness, Tolerance
0.36, 49.86, 0.99
0.00, 49.93, 1.00
0.00, 49.73, 1.00
0.00, 50.00, 1.00
0.00, 49.75, 1.00
0.00, 49.39, 1.00
0.00, 49.58, 1.00
0.00, 50.03, 1.00
0.00, 50.28, 1.00
0.00, 50.22, 1.00
0.00, 50.17, 1.00
0.00, 50.24, 1.00
0.00, 49.88, 1.00
0.00, 49.94, 1.00
0.00, 50.15, 1.00
0.00, 50.51, 1.00
0.00, 50.27, 1.00
0.00, 50.17, 1.00
0.00, 49.76, 1.00
0.00, 49.68, 1.00
0.00, 50.06, 1.00
0.00, 49.84, 1.00
0.00, 49.92, 1.00
0.00, 49.90, 1.00
0.00, 49.82, 1.00
0.00, 49.96, 1.00
0.00, 50.44, 1.00
0.00, 49.86, 1.00
0.00, 50.17, 1.00
0.00, 49.94, 1.00
0.00, 49.55, 1.00
0.00, 49.79, 1.00
0.00, 49.54, 1.00
0.00, 49.28, 1.00
0.00, 49.53, 1.00
0.00, 49.41, 1.00
0.00, 49.61, 1.00
0.00, 49.91, 1.00
0.00, 50.14, 1.00
0.00, 50.63, 1.00
0.00, 50.29, 1.00
0.00, 50.03, 1.00
0.00, 50.47, 1.00
0.00, 49.88, 1.00
0.00, 49.68, 1.00
0.00, 49.80, 1.00
0.00, 49.84, 1.00
0.00, 50.04, 1.00
0.00, 49.97, 1.00
0.00, 49.82, 1.00
