Unhappy, Sameness, Tolerance
32.30, 60.76, 0.00
19.81, 65.94, 0.00
16.25, 70.34, 0.00
12.17, 72.56, 0.00
10.47, 74.05, 0.00
10.55, 74.49, 0.00
9.98, 73.54, 0.00
10.99, 72.45, 0.00
12.29, 74.41, 0.00
10.83, 74.15, 0.00
10.71, 74.30, 0.00
11.12, 76.15, 0.00
9.62, 76.31, 0.00
8.93, 75.86, 0.00
10.27, 76.24, 0.00
9.86, 77.27, 0.00
9.18, 77.09, 0.00
9.66, 76.10, 0.00
10.55, 76.78, 0.00
9.66, 76.15, 0.00
10.79, 76.86, 0.00
9.50, 77.25, 0.00
9.66, 78.26, 0.00
9.86, 77.99, 0.00
9.50, 77.49, 0.00
10.31, 77.46, 0.00
9.86, 78.95, 0.00
9.09, 78.40, 0.00
8.97, 79.36, 0.00
9.30, 77.30, 0.00
10.39, 77.89, 0.00
9.66, 77.99, 0.00
10.31, 77.68, 0.00
10.51, 78.19, 0.00
10.19, 77.73, 0.00
10.59, 78.65, 0.00
9.98, 79.96, 0.00
8.89, 78.22, 0.00
9.70, 80.80, 0.00
7.96, 80.07, 0.00
8.45, 79.13, 0.00
9.30, 79.33, 0.00
9.54, 78.57, 0.00
9.74, 79.14, 0.00
9.82, 79.60, 0.00
9.74, 79.43, 0.00
9.70, 79.46, 0.00
10.35, 79.22, 0.00
10.23, 78.90, 0.00
10.39, 78.92, 0.00
10.15, 80.75, 0.00
9.05, 80.30, 0.00
9.30, 80.18, 0.00
9.42, 79.31, 0.00
9.94, 81.45, 0.00
8.49, 80.67, 0.00
8.97, 81.19, 0.00
8.77, 79.39, 0.00
9.66, 79.29, 0.00
9.50, 80.35, 0.00
8.93, 80.60, 0.00
8.89, 80.96, 0.00
