Unhappy, Sameness, Tolerance
27.85, 60.16, 0.15
19.60, 66.96, 0.08
15.16, 70.46, 0.04
13.06, 72.58, 0.02
11.56, 73.68, 0.01
10.51, 73.42, 0.00
10.75, 73.27, 0.00
11.08, 74.19, 0.00
11.36, 75.04, 0.00
9.66, 76.51, 0.00
8.77, 76.58, 0.00
8.93, 75.53, 0.00
9.66, 76.75, 0.00
9.14, 76.03, 0.00
10.35, 76.17, 0.00
10.23, 76.26, 0.00
9.50, 76.84, 0.00
9.26, 76.67, 0.00
9.50, 75.89, 0.00
10.59, 75.56, 0.00
10.71, 77.42, 0.00
9.66, 77.42, 0.00
9.54, 77.57, 0.00
9.66, 76.40, 0.00
10.31, 78.24, 0.00
9.42, 77.62, 0.00
9.62, 78.49, 0.00
9.34, 78.18, 0.00
9.58, 76.50, 0.00
10.67, 77.49, 0.00
10.19, 77.85, 0.00
10.39, 78.76, 0.00
10.27, 79.03, 0.00
9.26, 79.20, 0.00
9.98, 79.32, 0.00
8.81, 78.91, 0.00
9.78, 79.13, 0.00
9.14, 80.30, 0.00
8.73, 80.70, 0.00
7.88, 79.99, 0.00
9.18, 79.62, 0.00
9.14, 80.45, 0.00
8.89, 78.91, 0.00
9.66, 78.71, 0.00
10.06, 77.26, 0.00
10.59, 79.41, 0.00
9.14, 80.15, 0.00
8.69, 80.54, 0.00
8.57, 80.55, 0.00
8.65, 79.21, 0.00
