Unhappy, Sameness, Tolerance
24.01, 58.35, 0.27
17.06, 63.00, 0.26
12.45, 65.51, 0.28
10.79, 67.14, 0.28
9.18, 68.28, 0.30
9.62, 67.52, 0.30
10.27, 68.88, 0.28
9.09, 69.80, 0.26
10.11, 71.28, 0.24
8.69, 70.35, 0.25
9.66, 71.46, 0.29
9.18, 70.58, 0.30
8.08, 71.19, 0.31
7.84, 70.34, 0.33
8.37, 71.12, 0.35
7.32, 72.42, 0.35
6.59, 71.36, 0.36
7.88, 71.03, 0.36
7.92, 71.06, 0.35
8.16, 71.51, 0.35
7.60, 70.06, 0.34
9.54, 69.95, 0.33
9.01, 70.94, 0.33
9.62, 71.38, 0.30
8.53, 71.46, 0.29
9.18, 71.95, 0.30
8.69, 72.43, 0.31
8.29, 72.17, 0.29
9.54, 73.32, 0.27
7.44, 73.56, 0.30
7.40, 73.22, 0.31
8.65, 73.20, 0.29
8.57, 73.32, 0.27
8.73, 74.11, 0.28
8.41, 73.60, 0.30
7.52, 72.41, 0.31
8.85, 72.16, 0.32
8.53, 71.69, 0.35
7.64, 71.25, 0.37
7.03, 71.20, 0.39
7.96, 70.32, 0.41
7.92, 70.40, 0.40
8.81, 72.22, 0.40
6.99, 71.84, 0.43
7.07, 71.39, 0.45
6.43, 70.67, 0.47
6.43, 71.00, 0.48
5.70, 68.94, 0.49
6.99, 69.62, 0.51
6.79, 69.30, 0.53
6.27, 68.99, 0.54
6.35, 68.87, 0.55
