Unhappy, Sameness, Tolerance
3.76, 51.09, 0.88
0.04, 50.52, 1.00
0.00, 49.96, 1.00
0.00, 49.73, 1.00
0.00, 49.35, 1.00
0.00, 49.52, 1.00
0.00, 49.81, 1.00
0.00, 49.74, 1.00
0.00, 50.04, 1.00
0.00, 49.91, 1.00
0.00, 49.76, 1.00
0.00, 49.99, 1.00
0.00, 49.78, 1.00
0.00, 49.62, 1.00
0.00, 49.48, 1.00
0.00, 49.89, 1.00
0.00, 49.86, 1.00
0.00, 49.93, 1.00
0.00, 50.15, 1.00
0.00, 50.27, 1.00
0.00, 49.90, 1.00
0.00, 49.93, 1.00
0.00, 49.59, 1.00
0.00, 49.77, 1.00
0.00, 49.72, 1.00
0.00, 50.00, 1.00
0.00, 49.68, 1.00
0.00, 50.30, 1.00
0.00, 49.76, 1.00
0.00, 50.10, 1.00
0.00, 50.07, 1.00
0.00, 50.39, 1.00
0.00, 50.22, 1.00
0.00, 49.90, 1.00
0.00, 49.71, 1.00
0.00, 49.93, 1.00
0.00, 50.57, 1.00
0.00, 50.51, 1.00
0.00, 51.05, 1.00
0.00, 50.10, 1.00
0.00, 49.44, 1.00
0.00, 49.89, 1.00
0.00, 50.13, 1.00
0.00, 50.21, 1.00
0.00, 49.35, 1.00
0.00, 49.81, 1.00
0.00, 50.00, 1.00
0.00, 49.89, 1.00
0.00, 50.07, 1.00
0.00, 49.91, 1.00
