Unhappy, Sameness, Tolerance
28.90, 60.52, 0.14
20.90, 67.40, 0.01
15.97, 71.66, 0.00
12.05, 73.73, 0.00
10.95, 74.29, 0.00
11.16, 73.90, 0.00
11.16, 74.38, 0.00
11.60, 75.65, 0.00
11.12, 75.36, 0.00
10.87, 75.03, 0.00
10.95, 76.41, 0.00
9.14, 75.77, 0.00
10.35, 76.30, 0.00
10.55, 77.27, 0.00
9.66, 76.25, 0.00
10.35, 77.51, 0.00
9.94, 77.90, 0.00
10.06, 78.41, 0.00
9.38, 78.41, 0.00
9.22, 77.92, 0.00
9.38, 78.04, 0.00
9.38, 79.05, 0.00
8.81, 77.95, 0.00
9.82, 77.95, 0.00
10.23, 77.56, 0.00
10.39, 78.84, 0.00
9.42, 77.74, 0.00
9.46, 79.18, 0.00
8.33, 78.56, 0.00
8.97, 78.02, 0.00
9.90, 78.73, 0.00
8.89, 77.57, 0.00
9.34, 78.92, 0.00
8.77, 78.92, 0.00
9.26, 79.39, 0.00
8.93, 78.51, 0.00
9.26, 77.40, 0.00
10.06, 79.35, 0.00
9.26, 78.77, 0.00
9.98, 78.21, 0.00
9.78, 79.53, 0.00
8.85, 79.56, 0.00
9.26, 79.16, 0.00
9.09, 79.36, 0.00
9.34, 79.32, 0.00
8.69, 78.97, 0.00
9.05, 79.68, 0.00
9.22, 79.02, 0.00
9.34, 79.13, 0.00
9.66, 78.66, 0.00
9.66, 78.50, 0.00
