Unhappy, Sameness, Tolerance
0.36, 50.05, 0.99
0.00, 50.66, 1.00
0.00, 50.63, 1.00
0.00, 50.39, 1.00
0.00, 50.59, 1.00
0.00, 50.42, 1.00
0.00, 50.28, 1.00
0.00, 50.41, 1.00
0.00, 51.03, 1.00
0.00, 50.85, 1.00
0.00, 49.79, 1.00
0.00, 49.68, 1.00
0.00, 49.70, 1.00
0.00, 49.93, 1.00
0.00, 50.10, 1.00
0.00, 50.21, 1.00
0.00, 50.21, 1.00
0.00, 50.27, 1.00
0.00, 50.11, 1.00
0.00, 49.51, 1.00
0.00, 49.81, 1.00
0.00, 50.31, 1.00
0.00, 50.75, 1.00
0.00, 50.52, 1.00
0.00, 50.39, 1.00
0.00, 49.80, 1.00
0.00, 49.47, 1.00
0.00, 49.42, 1.00
0.00, 49.36, 1.00
0.00, 49.84, 1.00
0.00, 49.68, 1.00
0.00, 49.57, 1.00
0.00, 49.30, 1.00
0.00, 49.70, 1.00
0.00, 49.89, 1.00
0.00, 49.56, 1.00
0.00, 49.31, 1.00
0.00, 49.62, 1.00
0.00, 49.62, 1.00
0.00, 49.20, 1.00
0.00, 49.51, 1.00
0.00, 49.77, 1.00
0.00, 49.30, 1.00
0.00, 49.17, 1.00
0.00, 49.03, 1.00
0.00, 49.23, 1.00
0.00, 48.93, 1.00
0.00, 49.58, 1.00
0.00, 50.00, 1.00
0.00, 49.70, 1.00
