Unhappy, Sameness, Tolerance
5.62, 52.17, 0.84
2.51, 52.72, 0.87
1.25, 52.66, 0.89
1.41, 52.76, 0.90
0.85, 52.57, 0.91
0.57, 52.38, 0.92
0.97, 52.25, 0.92
0.89, 52.26, 0.93
0.77, 52.19, 0.94
0.57, 51.78, 0.94
0.53, 51.97, 0.94
0.69, 51.74, 0.95
0.49, 51.46, 0.95
0.49, 51.94, 0.96
0.36, 51.95, 0.96
0.49, 51.32, 0.96
0.40, 51.14, 0.96
0.32, 50.48, 0.96
0.40, 50.16, 0.97
0.57, 50.37, 0.97
0.32, 50.91, 0.97
0.40, 51.58, 0.97
0.36, 51.33, 0.97
0.40, 51.24, 0.97
0.40, 51.69, 0.97
0.16, 50.98, 0.98
0.28, 50.78, 0.98
0.24, 50.69, 0.98
0.12, 50.93, 0.98
0.20, 51.05, 0.98
0.32, 51.36, 0.98
0.12, 51.25, 0.98
0.20, 51.58, 0.98
0.04, 51.80, 0.98
0.08, 51.84, 0.98
0.32, 52.30, 0.98
0.08, 51.75, 0.98
0.16, 51.68, 0.98
0.16, 51.88, 0.98
0.20, 51.67, 0.98
0.08, 51.71, 0.98
0.16, 51.47, 0.98
0.16, 51.64, 0.98
0.16, 51.36, 0.98
0.04, 50.96, 0.98
0.16, 50.87, 0.98
0.12, 50.55, 0.98
0.00, 50.86, 0.98
0.20, 50.17, 0.98
0.28, 50.06, 0.98
