Unhappy, Sameness, Tolerance
0.00, 50.46, 1.00
0.00, 50.59, 1.00
0.00, 50.29, 1.00
0.00, 50.36, 1.00
0.00, 49.40, 1.00
0.00, 49.17, 1.00
0.00, 49.13, 1.00
0.00, 49.23, 1.00
0.00, 49.51, 1.00
0.00, 49.44, 1.00
0.00, 49.38, 1.00
0.00, 49.20, 1.00
0.00, 49.49, 1.00
0.00, 49.40, 1.00
0.00, 49.25, 1.00
0.00, 49.60, 1.00
0.00, 49.80, 1.00
0.00, 49.38, 1.00
0.00, 49.53, 1.00
0.00, 49.49, 1.00
0.00, 49.62, 1.00
0.00, 49.64, 1.00
0.00, 49.60, 1.00
0.00, 49.87, 1.00
0.00, 49.22, 1.00
0.00, 49.60, 1.00
0.00, 49.22, 1.00
0.00, 49.12, 1.00
0.00, 49.11, 1.00
0.00, 49.71, 1.00
0.00, 49.45, 1.00
0.00, 49.67, 1.00
0.00, 49.47, 1.00
0.00, 49.54, 1.00
0.00, 49.97, 1.00
0.00, 49.90, 1.00
0.00, 50.14, 1.00
0.00, 50.44, 1.00
0.00, 49.82, 1.00
0.00, 49.81, 1.00
0.00, 49.63, 1.00
0.00, 49.20, 1.00
0.00, 49.60, 1.00
0.00, 49.98, 1.00
0.00, 50.34, 1.00
0.00, 50.48, 1.00
0.00, 50.04, 1.00
0.00, 49.51, 1.00
0.00, 49.53, 1.00
0.00, 49.84, 1.00
