Unhappy, Sameness, Tolerance
32.74, 60.45, 0.01
20.90, 66.88, 0.00
15.36, 69.62, 0.00
14.67, 71.67, 0.00
11.60, 73.88, 0.00
10.35, 74.45, 0.00
10.02, 74.63, 0.00
9.70, 75.99, 0.00
9.09, 76.15, 0.00
9.58, 77.04, 0.00
9.22, 75.80, 0.00
9.90, 76.25, 0.00
10.19, 75.81, 0.00
10.63, 75.86, 0.00
10.43, 75.93, 0.00
10.35, 77.25, 0.00
9.46, 76.96, 0.00
10.15, 77.62, 0.00
9.30, 77.79, 0.00
9.62, 77.42, 0.00
9.42, 78.00, 0.00
8.85, 78.79, 0.00
8.69, 79.79, 0.00
8.21, 78.57, 0.00
9.62, 77.82, 0.00
9.86, 78.09, 0.00
9.98, 78.44, 0.00
10.27, 79.01, 0.00
9.14, 78.50, 0.00
9.62, 77.77, 0.00
10.51, 78.55, 0.00
9.94, 79.22, 0.00
9.58, 78.23, 0.00
9.82, 79.30, 0.00
9.05, 80.03, 0.00
8.65, 78.95, 0.00
10.27, 80.04, 0.00
8.89, 79.44, 0.00
9.26, 78.67, 0.00
10.11, 79.46, 0.00
9.66, 80.00, 0.00
8.85, 79.26, 0.00
10.39, 79.36, 0.00
9.66, 80.83, 0.00
9.22, 80.34, 0.00
9.05, 81.61, 0.00
8.53, 81.59, 0.00
8.69, 80.26, 0.00
9.14, 79.93, 0.00
9.54, 78.69, 0.00
10.02, 80.58, 0.00
8.93, 81.00, 0.00
8.25, 81.43, 0.00
8.65, 80.50, 0.00
9.01, 80.62, 0.00
8.77, 79.53, 0.00
9.58, 79.44, 0.00
10.11, 79.97, 0.00
9.54, 80.67, 0.00
9.14, 80.39, 0.00
9.26, 79.80, 0.00
9.62, 80.24, 0.00
9.62, 81.24, 0.00
