Unhappy, Sameness, Tolerance
29.99, 61.24, 0.08
19.40, 67.82, 0.00
14.35, 70.90, 0.00
11.64, 72.78, 0.00
10.19, 72.94, 0.00
10.31, 75.12, 0.00
9.50, 74.86, 0.00
10.06, 75.20, 0.00
9.62, 76.43, 0.00
9.05, 77.06, 0.00
9.42, 75.61, 0.00
10.19, 75.54, 0.00
10.23, 75.84, 0.00
9.86, 76.15, 0.00
10.59, 75.47, 0.00
10.95, 76.67, 0.00
10.67, 77.30, 0.00
10.06, 77.12, 0.00
10.35, 76.74, 0.00
9.86, 77.48, 0.00
9.78, 77.77, 0.00
9.62, 78.43, 0.00
9.58, 77.95, 0.00
10.51, 77.16, 0.00
10.75, 77.15, 0.00
10.63, 77.20, 0.00
10.75, 77.16, 0.00
10.15, 78.77, 0.00
9.94, 77.86, 0.00
9.78, 78.08, 0.00
9.82, 78.92, 0.00
9.70, 77.92, 0.00
9.94, 78.98, 0.00
9.46, 79.33, 0.00
9.14, 78.68, 0.00
9.18, 79.34, 0.00
8.77, 78.31, 0.00
10.06, 78.44, 0.00
9.58, 78.14, 0.00
9.86, 79.46, 0.00
9.54, 80.11, 0.00
9.14, 80.02, 0.00
8.73, 78.81, 0.00
9.34, 79.24, 0.00
9.18, 79.92, 0.00
8.53, 79.35, 0.00
9.54, 77.90, 0.00
9.86, 80.25, 0.00
8.45, 79.38, 0.00
8.85, 80.08, 0.00
8.25, 79.63, 0.00
9.01, 80.27, 0.00
8.81, 81.03, 0.00
7.96, 78.40, 0.00
10.19, 80.06, 0.00
9.14, 78.98, 0.00
9.78, 79.50, 0.00
9.58, 80.01, 0.00
8.45, 80.49, 0.00
8.81, 80.82, 0.00
8.69, 80.57, 0.00
8.77, 80.30, 0.00
