Unhappy, Sameness, Tolerance
3.40, 51.59, 0.90
0.00, 51.04, 1.00
0.00, 51.30, 1.00
0.00, 50.91, 1.00
0.00, 50.95, 1.00
0.00, 50.35, 1.00
0.00, 50.41, 1.00
0.00, 50.70, 1.00
0.00, 50.81, 1.00
0.00, 51.45, 1.00
0.00, 51.06, 1.00
0.00, 50.58, 1.00
0.00, 50.61, 1.00
0.00, 50.37, 1.00
0.00, 49.90, 1.00
0.00, 50.04, 1.00
0.00, 50.36, 1.00
0.00, 49.94, 1.00
0.00, 50.26, 1.00
0.00, 50.20, 1.00
0.00, 49.95, 1.00
0.00, 49.95, 1.00
0.00, 50.51, 1.00
0.00, 50.22, 1.00
0.00, 50.08, 1.00
0.00, 49.70, 1.00
0.00, 50.00, 1.00
0.00, 50.97, 1.00
0.00, 50.37, 1.00
0.00, 50.19, 1.00
0.00, 50.03, 1.00
0.00, 50.18, 1.00
0.00, 50.19, 1.00
0.00, 50.27, 1.00
0.00, 50.71, 1.00
0.00, 50.45, 1.00
0.00, 51.03, 1.00
0.00, 50.71, 1.00
0.00, 50.66, 1.00
0.00, 50.22, 1.00
0.00, 49.90, 1.00
0.00, 50.37, 1.00
0.00, 49.96, 1.00
0.00, 50.32, 1.00
0.00, 50.37, 1.00
0.00, 49.67, 1.00
0.00, 49.87, 1.00
0.00, 49.78, 1.00
0.00, 49.70, 1.00
0.00, 49.48, 1.00
