Unhappy, Sameness, Tolerance
16.45, 55.90, 0.55
8.12, 57.51, 0.59
5.30, 57.96, 0.62
4.65, 57.98, 0.64
4.41, 58.16, 0.66
3.48, 58.48, 0.71
2.22, 57.34, 0.80
1.41, 56.26, 0.88
0.57, 55.02, 0.94
0.08, 54.88, 0.98
0.04, 53.75, 1.00
0.00, 52.85, 1.00
0.00, 51.67, 1.00
0.00, 51.49, 1.00
0.00, 51.36, 1.00
0.00, 51.38, 1.00
0.00, 50.95, 1.00
0.00, 50.62, 1.00
0.00, 50.56, 1.00
0.00, 50.15, 1.00
0.00, 50.49, 1.00
0.00, 49.94, 1.00
0.00, 50.45, 1.00
0.00, 50.38, 1.00
0.00, 50.79, 1.00
0.00, 50.53, 1.00
0.00, 50.56, 1.00
0.00, 50.32, 1.00
0.00, 50.16, 1.00
0.00, 49.81, 1.00
0.00, 49.71, 1.00
0.00, 49.32, 1.00
0.00, 49.37, 1.00
0.00, 49.60, 1.00
0.00, 49.77, 1.00
0.00, 49.54, 1.00
0.00, 49.51, 1.00
0.00, 49.42, 1.00
0.00, 50.27, 1.00
0.00, 49.89, 1.00
0.00, 50.00, 1.00
0.00, 50.58, 1.00
0.00, 51.11, 1.00
0.00, 51.09, 1.00
0.00, 50.30, 1.00
0.00, 50.19, 1.00
0.00, 50.44, 1.00
0.00, 50.29, 1.00
0.00, 49.96, 1.00
0.00, 49.74, 1.00
