Unhappy, Sameness, Tolerance
27.16, 60.60, 0.14
18.67, 66.18, 0.09
14.63, 68.82, 0.05
13.99, 71.51, 0.03
11.80, 74.19, 0.01
9.54, 75.53, 0.00
8.85, 74.22, 0.00
10.39, 74.25, 0.00
10.02, 75.93, 0.00
9.94, 75.72, 0.00
9.66, 75.88, 0.00
9.09, 77.05, 0.00
9.09, 76.03, 0.00
9.78, 75.95, 0.00
9.54, 77.49, 0.00
9.42, 77.04, 0.00
9.58, 77.98, 0.00
8.49, 77.68, 0.00
8.89, 78.05, 0.00
9.46, 77.62, 0.00
9.50, 79.57, 0.00
8.16, 78.75, 0.00
9.22, 77.93, 0.00
9.22, 76.84, 0.00
10.91, 76.98, 0.00
10.67, 76.30, 0.00
10.63, 77.56, 0.00
10.63, 77.26, 0.00
10.51, 76.92, 0.00
10.99, 76.41, 0.00
11.24, 77.07, 0.00
9.90, 78.84, 0.00
8.97, 79.08, 0.00
9.01, 77.96, 0.00
10.51, 77.18, 0.00
10.35, 79.37, 0.00
8.97, 80.27, 0.00
8.89, 79.72, 0.00
9.01, 78.18, 0.00
10.59, 78.42, 0.00
9.66, 77.59, 0.00
10.19, 77.93, 0.00
9.86, 77.94, 0.00
10.31, 77.67, 0.00
9.98, 77.78, 0.00
10.02, 79.23, 0.00
8.81, 78.65, 0.00
9.54, 80.36, 0.00
8.85, 79.72, 0.00
9.34, 79.63, 0.00
9.14, 78.48, 0.00
9.58, 78.39, 0.00
9.86, 80.00, 0.00
8.85, 79.91, 0.00
8.77, 79.64, 0.00
