Unhappy, Sameness, Tolerance
2.67, 51.00, 0.94
0.04, 50.47, 1.00
0.00, 50.45, 1.00
0.00, 50.96, 1.00
0.00, 50.96, 1.00
0.00, 51.27, 1.00
0.00, 50.98, 1.00
0.00, 50.55, 1.00
0.00, 50.43, 1.00
0.00, 50.40, 1.00
0.00, 50.60, 1.00
0.00, 50.22, 1.00
0.00, 50.32, 1.00
0.00, 49.87, 1.00
0.00, 49.90, 1.00
0.00, 50.43, 1.00
0.00, 49.77, 1.00
0.00, 50.18, 1.00
0.00, 49.85, 1.00
0.00, 49.60, 1.00
0.00, 49.93, 1.00
0.00, 49.87, 1.00
0.00, 49.84, 1.00
0.00, 49.73, 1.00
0.00, 50.24, 1.00
0.00, 50.20, 1.00
0.00, 50.34, 1.00
0.00, 50.92, 1.00
0.00, 50.31, 1.00
0.00, 50.22, 1.00
0.00, 50.25, 1.00
0.00, 50.48, 1.00
0.00, 50.32, 1.00
0.00, 50.55, 1.00
0.00, 50.65, 1.00
0.00, 50.71, 1.00
0.00, 50.46, 1.00
0.00, 50.66, 1.00
0.00, 50.58, 1.00
0.00, 50.88, 1.00
0.00, 50.31, 1.00
0.00, 50.52, 1.00
0.00, 50.56, 1.00
0.00, 50.53, 1.00
0.00, 50.74, 1.00
0.00, 51.05, 1.00
0.00, 50.78, 1.00
0.00, 50.51, 1.00
0.00, 49.94, 1.00
0.00, 50.41, 1.00
