Unhappy, Sameness, Tolerance
6.18, 51.67, 0.84
2.34, 52.00, 0.92
1.13, 52.13, 0.96
0.32, 52.06, 0.98
0.24, 51.50, 0.99
0.04, 51.35, 1.00
0.04, 51.04, 1.00
0.00, 50.39, 1.00
0.00, 50.85, 1.00
0.00, 50.56, 1.00
0.00, 50.13, 1.00
0.00, 50.40, 1.00
0.00, 50.63, 1.00
0.00, 50.63, 1.00
0.00, 50.61, 1.00
0.00, 50.41, 1.00
0.00, 50.04, 1.00
0.00, 50.25, 1.00
0.00, 50.33, 1.00
0.00, 50.10, 1.00
0.00, 49.99, 1.00
0.00, 50.07, 1.00
0.00, 50.31, 1.00
0.00, 49.92, 1.00
0.00, 49.99, 1.00
0.00, 49.95, 1.00
0.00, 50.43, 1.00
0.00, 49.91, 1.00
0.00, 49.91, 1.00
0.00, 49.93, 1.00
0.00, 50.45, 1.00
0.00, 50.79, 1.00
0.00, 50.80, 1.00
0.00, 50.62, 1.00
0.00, 50.19, 1.00
0.00, 50.44, 1.00
0.00, 50.44, 1.00
0.00, 49.94, 1.00
0.00, 49.89, 1.00
0.00, 49.97, 1.00
0.00, 49.86, 1.00
0.00, 49.76, 1.00
0.00, 49.85, 1.00
0.00, 49.76, 1.00
0.00, 49.80, 1.00
0.00, 49.77, 1.00
0.00, 49.95, 1.00
0.00, 50.27, 1.00
0.00, 50.41, 1.00
0.00, 49.86, 1.00
