Unhappy, Sameness, Tolerance
1.54, 50.95, 0.96
0.12, 50.80, 1.00
0.00, 50.77, 1.00
0.00, 50.29, 1.00
0.00, 49.95, 1.00
0.00, 49.92, 1.00
0.00, 50.12, 1.00
0.00, 50.28, 1.00
0.00, 50.32, 1.00
0.00, 50.38, 1.00
0.00, 50.09, 1.00
0.00, 50.61, 1.00
0.00, 49.90, 1.00
0.00, 49.86, 1.00
0.00, 49.61, 1.00
0.00, 49.84, 1.00
0.00, 50.08, 1.00
0.00, 49.82, 1.00
0.00, 49.85, 1.00
0.00, 49.47, 1.00
0.00, 49.37, 1.00
0.00, 49.69, 1.00
0.00, 49.51, 1.00
0.00, 49.99, 1.00
0.00, 50.10, 1.00
0.00, 50.42, 1.00
0.00, 50.92, 1.00
0.00, 50.76, 1.00
0.00, 50.77, 1.00
0.00, 50.76, 1.00
0.00, 50.32, 1.00
0.00, 50.32, 1.00
0.00, 50.19, 1.00
0.00, 50.06, 1.00
0.00, 50.28, 1.00
0.00, 50.36, 1.00
0.00, 50.68, 1.00
0.00, 50.36, 1.00
0.00, 50.03, 1.00
0.00, 49.66, 1.00
0.00, 50.02, 1.00
0.00, 49.61, 1.00
0.00, 49.74, 1.00
0.00, 49.59, 1.00
0.00, 49.83, 1.00
0.00, 50.34, 1.00
0.00, 50.34, 1.00
0.00, 50.02, 1.00
0.00, 50.19, 1.00
0.00, 50.63, 1.00
