Unhappy, Sameness, Tolerance
26.72, 60.47, 0.18
16.57, 64.47, 0.17
12.97, 67.49, 0.17
10.91, 68.72, 0.17
9.42, 70.27, 0.16
8.37, 69.50, 0.16
9.46, 69.85, 0.16
8.73, 70.75, 0.16
8.37, 70.27, 0.16
8.21, 70.59, 0.16
8.04, 69.45, 0.17
8.81, 70.31, 0.17
8.61, 71.76, 0.16
7.24, 70.20, 0.16
8.69, 71.25, 0.16
8.00, 70.80, 0.16
8.61, 71.22, 0.16
8.49, 71.07, 0.16
8.33, 71.37, 0.16
8.16, 71.00, 0.16
8.25, 71.16, 0.16
8.33, 70.43, 0.16
8.97, 71.21, 0.16
8.57, 71.69, 0.16
8.16, 71.93, 0.16
8.41, 72.00, 0.16
7.40, 71.48, 0.16
8.21, 70.68, 0.16
8.93, 70.78, 0.16
9.18, 70.33, 0.16
8.45, 70.89, 0.16
8.25, 70.83, 0.16
8.65, 71.19, 0.16
7.92, 71.28, 0.16
7.96, 70.90, 0.16
8.00, 70.42, 0.16
8.89, 72.37, 0.16
7.36, 72.03, 0.16
7.36, 71.59, 0.16
7.60, 72.75, 0.16
7.24, 71.95, 0.16
7.60, 71.47, 0.16
7.88, 70.76, 0.16
8.37, 70.67, 0.16
9.42, 70.18, 0.16
9.38, 71.38, 0.16
8.49, 70.53, 0.16
8.81, 71.53, 0.16
8.33, 73.25, 0.16
7.19, 73.13, 0.16
7.92, 74.13, 0.16
7.11, 72.89, 0.16
7.76, 71.74, 0.16
8.29, 71.92, 0.16
7.72, 72.67, 0.16
7.28, 72.52, 0.16
7.92, 71.60, 0.16
8.33, 71.28, 0.16
8.45, 72.14, 0.16
7.44, 72.48, 0.16
8.08, 70.98, 0.16
7.76, 70.50, 0.16
8.77, 70.99, 0.16
8.53, 71.20, 0.16
8.37, 70.81, 0.16
8.85, 71.42, 0.16
7.84, 71.22, 0.16
8.08, 71.14, 0.16
8.16, 70.85, 0.16
