Unhappy, Sameness, Tolerance
28.29, 59.56, 0.14
22.27, 65.56, 0.00
16.98, 70.32, 0.00
13.38, 72.67, 0.00
12.13, 74.68, 0.00
10.55, 75.23, 0.00
10.99, 75.30, 0.00
10.83, 76.04, 0.00
10.31, 76.65, 0.00
8.49, 77.42, 0.00
8.61, 77.53, 0.00
8.73, 75.87, 0.00
10.02, 75.02, 0.00
10.63, 76.31, 0.00
10.55, 77.01, 0.00
9.66, 76.74, 0.00
9.70, 77.58, 0.00
9.34, 77.32, 0.00
9.18, 78.52, 0.00
8.33, 79.44, 0.00
8.25, 79.03, 0.00
9.34, 77.23, 0.00
9.86, 78.86, 0.00
9.42, 78.71, 0.00
9.46, 78.24, 0.00
9.38, 76.94, 0.00
10.27, 78.49, 0.00
9.14, 79.59, 0.00
8.49, 79.22, 0.00
9.38, 79.80, 0.00
7.92, 79.34, 0.00
8.45, 80.12, 0.00
8.89, 77.76, 0.00
10.23, 79.52, 0.00
9.38, 79.47, 0.00
9.18, 77.91, 0.00
10.47, 78.44, 0.00
10.51, 78.31, 0.00
10.19, 78.98, 0.00
9.62, 77.49, 0.00
10.59, 78.31, 0.00
10.75, 78.05, 0.00
9.98, 77.69, 0.00
10.87, 80.14, 0.00
9.38, 79.76, 0.00
9.38, 80.47, 0.00
8.69, 78.83, 0.00
9.01, 79.38, 0.00
9.22, 79.63, 0.00
8.69, 79.13, 0.00
9.54, 78.78, 0.00
9.54, 78.12, 0.00
