Unhappy, Sameness, Tolerance
0.00, 50.17, 1.00
0.00, 50.18, 1.00
0.00, 50.03, 1.00
0.00, 49.93, 1.00
0.00, 50.29, 1.00
0.00, 50.10, 1.00
0.00, 50.16, 1.00
0.00, 49.69, 1.00
0.00, 49.30, 1.00
0.00, 49.58, 1.00
0.00, 49.86, 1.00
0.00, 49.44, 1.00
0.00, 48.99, 1.00
0.00, 49.84, 1.00
0.00, 50.00, 1.00
0.00, 49.85, 1.00
0.00, 49.82, 1.00
0.00, 49.95, 1.00
0.00, 49.98, 1.00
0.00, 49.95, 1.00
0.00, 50.46, 1.00
0.00, 50.45, 1.00
0.00, 50.60, 1.00
0.00, 50.59, 1.00
0.00, 50.15, 1.00
0.00, 50.02, 1.00
0.00, 50.05, 1.00
0.00, 50.57, 1.00
0.00, 50.52, 1.00
0.00, 50.29, 1.00
0.00, 50.22, 1.00
0.00, 49.74, 1.00
0.00, 49.95, 1.00
0.00, 49.89, 1.00
0.00, 49.66, 1.00
0.00, 49.97, 1.00
0.00, 49.85, 1.00
0.00, 49.82, 1.00
0.00, 49.13, 1.00
0.00, 49.41, 1.00
0.00, 48.70, 1.00
0.00, 49.26, 1.00
0.00, 49.56, 1.00
0.00, 49.08, 1.00
0.00, 49.13, 1.00
0.00, 49.58, 1.00
0.00, 49.45, 1.00
0.00, 49.67, 1.00
0.00, 50.00, 1.00
0.00, 49.67, 1.00
