Unhappy, Sameness, Tolerance
12.05, 55.55, 0.65
12.09, 59.27, 0.47
14.79, 62.00, 0.29
16.49, 65.96, 0.17
14.43, 69.48, 0.10
13.58, 71.66, 0.04
12.13, 72.36, 0.02
12.21, 73.91, 0.01
11.36, 74.91, 0.01
9.98, 74.92, 0.01
10.11, 75.00, 0.01
10.55, 75.14, 0.01
10.19, 76.94, 0.00
8.93, 76.71, 0.00
8.97, 77.20, 0.00
8.97, 76.83, 0.00
9.34, 77.35, 0.00
9.42, 77.53, 0.00
9.62, 78.23, 0.00
9.42, 77.78, 0.00
9.09, 77.57, 0.00
9.54, 78.68, 0.00
8.85, 76.56, 0.00
10.43, 78.27, 0.00
8.93, 79.31, 0.00
7.88, 78.84, 0.00
8.33, 77.49, 0.00
9.78, 77.31, 0.00
9.94, 78.60, 0.00
8.57, 77.71, 0.00
9.50, 77.14, 0.00
10.75, 77.43, 0.00
9.74, 78.96, 0.00
9.18, 77.50, 0.00
9.90, 78.27, 0.00
9.01, 78.21, 0.00
8.85, 76.98, 0.00
9.94, 78.70, 0.00
9.54, 77.31, 0.00
10.35, 77.39, 0.00
10.23, 77.50, 0.00
9.90, 78.70, 0.00
9.46, 77.55, 0.00
10.43, 77.95, 0.00
10.31, 78.78, 0.00
9.42, 78.42, 0.00
8.89, 78.71, 0.00
8.93, 79.08, 0.00
9.18, 78.97, 0.00
9.78, 80.23, 0.00
8.25, 79.55, 0.00
8.97, 79.06, 0.00
9.54, 78.42, 0.00
9.18, 79.06, 0.00
9.50, 78.21, 0.00
10.71, 78.55, 0.00
9.78, 79.17, 0.00
9.42, 78.80, 0.00
8.69, 80.52, 0.00
8.16, 79.55, 0.00
9.01, 79.68, 0.00
8.89, 79.45, 0.00
9.18, 78.68, 0.00
9.86, 78.02, 0.00
10.11, 78.98, 0.00
9.98, 79.70, 0.00
8.61, 79.61, 0.00
8.93, 80.16, 0.00
9.14, 81.16, 0.00
8.33, 79.93, 0.00
8.93, 80.22, 0.00
8.89, 79.74, 0.00
