Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-03 181206

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.5, 1.0]
                          setSocialForce :,  	[-0.5, 0.5]
                    setSocialTemperature :,  	[0.01, 0.1, 1.0]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 182259, 3,                    0,                 -0.5,                  1.0,50,90.46,79.67,0.00
 2014-05-03 182310, 3,                    0,                 -0.5,                  1.0,50,91.55,80.03,0.00
 2014-05-03 182321, 3,                    0,                 -0.5,                  1.0,57,90.02,79.48,0.00
 2014-05-03 182332, 3,                    0,                 -0.5,                  1.0,56,91.23,79.80,0.00
 2014-05-03 182344, 3,                    0,                 -0.5,                  1.0,61,90.74,80.31,0.00
averages: ,                    0,                 -0.5,                  1.0,55,90.89,79.85,0.00
standard deviations: ,                    0,                 -0.5,                  1.0, 4,0.46,0.65,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,0.5
                    setSocialTemperature :	,0.01
 timestamp, job ID, setInitialOpinionSplit, setSocialForce, setSocialTemperature, runtime, pct happy, pct same, tolerance
 2014-05-03 182356, 4,                    0,                  0.5,                 0.01,75,91.67,80.69,0.00
 2014-05-03 182410, 4,                    0,                  0.5,                 0.01,60,91.11,80.14,0.00
 2014-05-03 182422, 4,                    0,                  0.5,                 0.01,57,90.58,79.02,0.00
 2014-05-03 182434, 4,                    0,                  0.5,                 0.01,53,90.82,79.86,0.00
 2014-05-03 182445, 4,                    0,                  0.5,                 0.01,50,90.46,78.96,0.00
 2014-05-03 182456, 4,                    0,                  0.5,                 0.01,54,90.91,80.82,0.00
 2014-05-03 182507, 4,                    0,                  0.5,                 0.01,51,91.51,80.10,0.00
 2014-05-03 182518, 4,                    0,                  0.5,                 0.01,56,90.54,80.64,0.00
 2014-05-03 182529, 4,                    0,                  0.5,                 0.01,66,90.30,81.03,0.00
 2014-05-03 182542, 4,                    0,                  0.5,                 0.01,50,90.62,80.32,0.00
 2014-05-03 182553, 4,                    0,                  0.5,                 0.01,56,91.07,79.35,0.00
 2014-05-03 182605, 4,                    0,                  0.5,                 0.01,52,90.30,78.91,0.00
 2014-05-03 182616, 4,                    0,                  0.5,                 0.01,50,90.74,79.59,0.00
 2014-05-03 182626, 4,                    0,                  0.5,                 0.01,64,90.34,79.75,0.00
 2014-05-03 182639, 4,                    0,                  0.5,                 0.01,52,90.54,79.93,0.00
 2014-05-03 182650, 4,                    0,                  0.5,                 0.01,92,90.18,80.34,0.00
 2014-05-03 182706, 4,                    0,                  0.5,                 0.01,62,90.99,79.49,0.00
 2014-05-03 182719, 4,                    0,                  0.5,                 0.01,50,91.43,79.49,0.00
 2014-05-03 182730, 4,                    0,                  0.5,                 0.01,78,91.84,82.61,0.00
 2014-05-03 182744, 4,                    0,                  0.5,                 0.01,64,91.43,79.58,0.00
averages: ,                    0,                  0.5,                 0.01,59,90.87,80.03,0.00
standard deviations: ,                    0,                  0.5,                 0.01,10,0.48,0.85,0.00
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,0.5
