Experiment Schelling Stat Mech Experiment
Schelling Segregation Model with Statistical Mechanics of Opinion Diffusion.
Experiment started 2014-05-01 000720

######################################################
Experiment Defaults:
                           setNumOfRaces :,  	2
                    setSocialTemperature :,  	1.0
Experiment Parameter Variations:
                  setInitialOpinionSplit :,  	[0, 0.25, 0.5, 0.75, 1.0]
                          setSocialForce :,  	[-0.5, 0, 0.5]
######################################################
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 5,                 0.25,                    0,74,92.68,73.46,0.18
 5,                 0.25,                    0,57,91.19,74.40,0.15
 5,                 0.25,                    0,62,92.72,70.56,0.27
 5,                 0.25,                    0,55,91.75,71.23,0.31
 5,                 0.25,                    0,69,93.25,68.89,0.35
 5,                 0.25,                    0,54,91.59,76.52,0.11
 5,                 0.25,                    0,50,93.25,69.66,0.36
 5,                 0.25,                    0,51,92.16,71.61,0.29
 5,                 0.25,                    0,60,92.40,73.41,0.23
 5,                 0.25,                    0,51,92.56,64.99,0.41
 5,                 0.25,                    0,50,91.55,69.32,0.26
 5,                 0.25,                    0,52,91.67,74.31,0.17
 5,                 0.25,                    0,59,91.15,73.18,0.19
 5,                 0.25,                    0,64,91.23,71.24,0.31
 5,                 0.25,                    0,56,93.13,65.38,0.46
 5,                 0.25,                    0,54,92.12,69.32,0.27
averages: ,                 0.25,                    0,58,92.12,70.87,0.27
standard deviations: ,                 0.25,                    0, 9,0.72,3.27,0.10
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.25
                          setSocialForce :	,0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 6,                 0.25,                  0.5,52,96.85,54.63,0.77
 6,                 0.25,                  0.5,65,97.17,54.66,0.76
 6,                 0.25,                  0.5,51,97.09,54.62,0.76
 6,                 0.25,                  0.5,54,97.25,56.08,0.76
 6,                 0.25,                  0.5,55,97.29,55.46,0.76
 6,                 0.25,                  0.5,51,97.49,54.37,0.75
 6,                 0.25,                  0.5,55,96.89,55.07,0.76
 6,                 0.25,                  0.5,55,97.78,53.68,0.79
 6,                 0.25,                  0.5,52,97.37,54.55,0.76
 6,                 0.25,                  0.5,54,96.69,55.58,0.76
 6,                 0.25,                  0.5,53,97.29,54.27,0.77
 6,                 0.25,                  0.5,63,97.21,55.49,0.75
 6,                 0.25,                  0.5,57,97.21,53.70,0.77
 6,                 0.25,                  0.5,51,97.17,53.62,0.78
 6,                 0.25,                  0.5,50,97.25,55.14,0.75
 6,                 0.25,                  0.5,52,97.82,54.94,0.77
 6,                 0.25,                  0.5,56,96.93,55.54,0.75
 6,                 0.25,                  0.5,51,97.57,53.23,0.78
 6,                 0.25,                  0.5,50,97.05,54.90,0.77
 6,                 0.25,                  0.5,53,97.01,55.44,0.76
averages: ,                 0.25,                  0.5,54,97.22,54.75,0.76
standard deviations: ,                 0.25,                  0.5, 3,0.28,0.75,0.01
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 7,                  0.5,                 -0.5,52,91.71,70.71,0.16
 7,                  0.5,                 -0.5,50,91.67,73.61,0.15
 7,                  0.5,                 -0.5,61,90.95,73.41,0.15
 7,                  0.5,                 -0.5,53,92.04,70.86,0.15
 7,                  0.5,                 -0.5,55,90.91,72.69,0.15
 7,                  0.5,                 -0.5,55,92.40,70.47,0.16
 7,                  0.5,                 -0.5,56,91.15,72.36,0.14
 7,                  0.5,                 -0.5,51,92.60,72.59,0.15
 7,                  0.5,                 -0.5,72,92.00,73.61,0.16
 7,                  0.5,                 -0.5,54,91.11,72.17,0.14
 7,                  0.5,                 -0.5,55,92.00,72.97,0.15
 7,                  0.5,                 -0.5,54,92.12,71.87,0.15
 7,                  0.5,                 -0.5,53,91.43,71.10,0.16
 7,                  0.5,                 -0.5,50,92.36,72.82,0.15
 7,                  0.5,                 -0.5,54,90.91,71.22,0.14
 7,                  0.5,                 -0.5,52,92.44,72.33,0.16
 7,                  0.5,                 -0.5,52,92.24,71.56,0.15
 7,                  0.5,                 -0.5,53,92.00,70.61,0.17
 7,                  0.5,                 -0.5,50,91.84,69.80,0.15
 7,                  0.5,                 -0.5,81,92.32,73.44,0.14
averages: ,                  0.5,                 -0.5,55,91.81,72.01,0.15
standard deviations: ,                  0.5,                 -0.5, 7,0.54,1.13,0.01
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,0
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 8,                  0.5,                    0,50,95.11,60.42,0.61
 8,                  0.5,                    0,52,95.19,61.72,0.58
 8,                  0.5,                    0,51,95.96,58.61,0.69
 8,                  0.5,                    0,61,94.54,59.29,0.61
 8,                  0.5,                    0,53,93.21,65.81,0.42
 8,                  0.5,                    0,57,92.76,65.40,0.41
 8,                  0.5,                    0,51,95.76,58.84,0.70
 8,                  0.5,                    0,50,95.39,60.60,0.64
 8,                  0.5,                    0,62,94.95,59.81,0.67
 8,                  0.5,                    0,59,92.97,63.41,0.49
 8,                  0.5,                    0,60,95.63,60.10,0.64
 8,                  0.5,                    0,54,93.49,64.35,0.44
 8,                  0.5,                    0,52,95.88,59.58,0.65
 8,                  0.5,                    0,50,94.46,61.94,0.60
 8,                  0.5,                    0,50,93.33,64.33,0.50
 8,                  0.5,                    0,55,92.68,66.47,0.33
 8,                  0.5,                    0,63,94.46,62.33,0.57
 8,                  0.5,                    0,50,95.07,62.57,0.57
 8,                  0.5,                    0,55,95.80,59.87,0.65
 8,                  0.5,                    0,51,94.26,63.67,0.50
averages: ,                  0.5,                    0,54,94.55,61.96,0.56
standard deviations: ,                  0.5,                    0, 4,1.08,2.39,0.10
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.5
                          setSocialForce :	,0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 9,                  0.5,                  0.5,52,98.06,52.65,0.85
 9,                  0.5,                  0.5,56,98.34,52.48,0.85
 9,                  0.5,                  0.5,53,98.02,53.06,0.85
 9,                  0.5,                  0.5,51,98.26,52.69,0.86
 9,                  0.5,                  0.5,52,98.50,53.15,0.85
 9,                  0.5,                  0.5,52,97.82,53.13,0.84
 9,                  0.5,                  0.5,50,98.38,52.96,0.84
 9,                  0.5,                  0.5,51,97.82,52.70,0.84
 9,                  0.5,                  0.5,51,98.50,53.31,0.86
 9,                  0.5,                  0.5,50,98.38,51.85,0.85
 9,                  0.5,                  0.5,60,97.94,52.64,0.86
 9,                  0.5,                  0.5,54,98.02,53.08,0.85
 9,                  0.5,                  0.5,50,98.34,52.47,0.85
 9,                  0.5,                  0.5,50,98.18,52.99,0.84
 9,                  0.5,                  0.5,51,98.30,54.13,0.86
 9,                  0.5,                  0.5,51,98.22,53.55,0.85
 9,                  0.5,                  0.5,52,97.94,53.04,0.85
 9,                  0.5,                  0.5,52,98.50,52.92,0.85
 9,                  0.5,                  0.5,52,98.50,53.44,0.85
 9,                  0.5,                  0.5,50,98.26,52.10,0.86
averages: ,                  0.5,                  0.5,52,98.22,52.92,0.85
standard deviations: ,                  0.5,                  0.5, 2,0.22,0.50,0.01
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.75
                          setSocialForce :	,-0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 10,                 0.75,                 -0.5,51,92.04,69.12,0.22
 10,                 0.75,                 -0.5,51,92.44,68.17,0.23
 10,                 0.75,                 -0.5,70,92.36,68.83,0.24
 10,                 0.75,                 -0.5,56,91.51,67.99,0.24
 10,                 0.75,                 -0.5,50,91.55,69.12,0.23
 10,                 0.75,                 -0.5,59,92.08,67.52,0.25
 10,                 0.75,                 -0.5,62,92.32,68.86,0.24
 10,                 0.75,                 -0.5,50,91.92,68.11,0.24
 10,                 0.75,                 -0.5,52,91.84,69.30,0.24
 10,                 0.75,                 -0.5,56,92.72,70.18,0.22
 10,                 0.75,                 -0.5,54,90.78,67.93,0.24
 10,                 0.75,                 -0.5,54,92.28,69.82,0.22
 10,                 0.75,                 -0.5,54,92.36,70.04,0.24
 10,                 0.75,                 -0.5,52,92.32,68.79,0.23
 10,                 0.75,                 -0.5,60,90.99,68.70,0.23
 10,                 0.75,                 -0.5,56,92.28,68.87,0.23
 10,                 0.75,                 -0.5,50,92.81,68.11,0.24
 10,                 0.75,                 -0.5,51,93.53,71.00,0.22
 10,                 0.75,                 -0.5,52,92.00,67.95,0.24
 10,                 0.75,                 -0.5,73,92.60,69.78,0.23
averages: ,                 0.75,                 -0.5,55,92.14,68.91,0.23
standard deviations: ,                 0.75,                 -0.5, 6,0.60,0.88,0.01
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.75
                          setSocialForce :	,0
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 11,                 0.75,                    0,58,96.97,54.66,0.81
 11,                 0.75,                    0,70,97.53,54.70,0.86
 11,                 0.75,                    0,56,98.59,53.37,0.88
 11,                 0.75,                    0,61,96.52,57.49,0.73
 11,                 0.75,                    0,51,96.00,58.53,0.69
 11,                 0.75,                    0,51,98.34,54.55,0.87
 11,                 0.75,                    0,54,97.37,56.36,0.79
 11,                 0.75,                    0,53,97.29,56.18,0.81
 11,                 0.75,                    0,60,95.19,57.98,0.72
 11,                 0.75,                    0,52,97.25,56.13,0.82
 11,                 0.75,                    0,50,98.79,52.61,0.90
 11,                 0.75,                    0,54,98.10,54.97,0.85
 11,                 0.75,                    0,53,96.36,56.82,0.74
 11,                 0.75,                    0,52,97.66,53.82,0.85
 11,                 0.75,                    0,59,98.54,52.67,0.87
 11,                 0.75,                    0,52,97.70,53.32,0.86
 11,                 0.75,                    0,50,98.06,54.08,0.85
 11,                 0.75,                    0,51,97.29,55.91,0.82
 11,                 0.75,                    0,71,96.65,54.97,0.80
 11,                 0.75,                    0,55,96.93,56.92,0.77
averages: ,                 0.75,                    0,55,97.36,55.30,0.81
standard deviations: ,                 0.75,                    0, 5,0.90,1.69,0.06
*********************Job Settings*********************
                  setInitialOpinionSplit :	,0.75
                          setSocialForce :	,0.5
 job ID, setInitialOpinionSplit, setSocialForce, runtime, pct happy, pct same, tolerance
 12,                 0.75,                  0.5,55,99.03,51.18,0.93
 12,                 0.75,                  0.5,50,99.11,52.07,0.93
 12,                 0.75,                  0.5,51,99.31,52.39,0.93
 12,                 0.75,                  0.5,50,99.11,51.48,0.93
 12,                 0.75,                  0.5,51,99.35,51.81,0.93
 12,                 0.75,                  0.5,51,99.11,51.44,0.93
 12,                 0.75,                  0.5,51,99.11,50.84,0.93
 12,                 0.75,                  0.5,51,99.27,51.48,0.93
 12,                 0.75,                  0.5,52,98.87,51.96,0.91
 12,                 0.75,                  0.5,50,99.19,50.07,0.93
 12,                 0.75,                  0.5,53,98.95,51.43,0.93
 12,                 0.75,                  0.5,52,98.99,50.80,0.92
 12,                 0.75,                  0.5,50,99.03,50.85,0.92
 12,                 0.75,                  0.5,51,99.11,52.35,0.92
 12,                 0.75,                  0.5,52,99.27,52.26,0.93
 12,                 0.75,                  0.5,51,99.19,52.38,0.93
 12,                 0.75,                  0.5,55,99.35,52.18,0.92
 12,                 0.75,                  0.5,50,99.11,51.79,0.92
 12,                 0.75,                  0.5,51,99.07,51.32,0.93
 12,                 0.75,                  0.5,52,99.07,50.95,0.93
